prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",96212,0.21906830748763148,1.632005948141185,1.6306970386280455,Simulated,1.632005948141185,0.0013334651785583762,0.21645471573765707,0.2216818992376059
"(2.181, 3.229]",86256,0.15452838063439064,2.697055708425679,2.6927937490000735,Simulated,2.697055708425679,0.0012307192297753224,0.15211617094403102,0.15694059032475027
"(3.229, 4.419]",86403,0.11856069812390774,3.81029710063259,3.802879377692798,Simulated,3.81029710063259,0.001099770759452247,0.11640514743538133,0.12071624881243415
"(4.419, 5.829]",86431,0.09198088648748713,5.0993393134310345,5.087369922712544,Simulated,5.0993393134310345,0.0009830181165282358,0.0900541709790918,0.09390760199588247
"(5.829, 7.622]",86597,0.07034885735071654,6.685307330341815,6.665864957958891,Simulated,6.685307330341815,0.0008690346724609938,0.06864554939269299,0.07205216530874009
"(7.622, 10.037]",84357,0.054956909325841366,8.750315930622532,8.713917067605482,Simulated,8.750315930622532,0.0007846507475059412,0.05341899386072972,0.05649482479095301
"(10.037, 14.001]",84804,0.03872458846280836,11.820438575135903,11.722730273603382,Simulated,11.820438575135903,0.0006625355000994048,0.03742601888261352,0.040023158043003194
"(14.001, 80.687]",126638,0.020475686602757465,23.576521851768245,20.007973369844372,Simulated,23.576521851768245,0.00039796495127189307,0.019695675298264555,0.021255697907250376
