year,n,frac_zero,mean_prod,median_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,50000,0.20858,4.319175644649354,3.599285901655728,1.4471956341250438,0.5862554780263146,1.0976589372560845,3.599285901655728,6.422423961507404,9.687649803671755,11.957967820141842
1,50000,0.20924,5.206967876312902,3.4590262508346292,1.469886308460107,0.9968428609320187,0.7865645923542539,3.4590262508346292,7.232327368992175,12.433715924640634,16.848864553202457
2,50000,0.15558,6.865603041077617,4.399068549902758,1.5975089942677274,1.2586649842576905,1.3267676763948937,4.399068549902758,9.27387326927925,16.278000239087756,22.4327294984183
3,50000,0.12996,7.932847289402974,5.0488233943659,1.6781038307530585,1.3540937387330858,1.6233577393527043,5.0488233943659,10.580626966722232,18.638176158433904,25.89257232127911
4,50000,0.13654,8.279690156291407,5.247187112993156,1.7239683089049695,1.3756935468199745,1.5679040301531204,5.247187112993156,11.085640595730219,19.758976262099154,27.401448464486943
5,50000,0.13666,8.44133773816844,5.303243636567885,1.7343639749667639,1.405369360303838,1.5704918425422085,5.303243636567885,11.33449878960737,20.20664572777433,27.956264365744772
6,50000,0.14496,7.791559088629845,4.804846344504789,1.6591381078669785,1.4157623179731067,1.36537523561207,4.804846344504789,10.489131554164878,18.807372878519526,25.923653915160518
7,50000,0.1422,7.335197013101487,4.503619996417807,1.5880702124911203,1.4326333279694563,1.2888182225473908,4.503619996417807,9.871793477722147,17.725543274660836,24.467127779275728
8,50000,0.16126,6.992489242736148,4.142365567484563,1.5490905182432777,1.4652472719842986,1.0403486126581796,4.142365567484563,9.34335857580825,16.99317569223145,23.77501759025936
9,50000,0.15242,6.874109756852819,4.097642886466305,1.514150618928647,1.4963342541814395,1.0606566244434799,4.097642886466305,9.208608324279831,16.743412858289776,23.460896656248813
10,50000,0.17106,6.727347439733567,3.9117989832349696,1.5106278905407415,1.5081717644378216,0.9075651264280047,3.9117989832349696,8.962653405498497,16.520777782773948,22.988889230943474
11,50000,0.16996,6.6509617098884775,3.8455647707638922,1.4967874923261257,1.5121809745381904,0.8833870223842638,3.8455647707638922,8.968854465374555,16.455573835847083,22.830995765025122
12,50000,0.17534,6.421389895562845,3.792175939890252,1.4810757574293942,1.4906984996225585,0.8270294072807252,3.792175939890252,8.734423342401248,15.86933860425938,21.961685660593893
13,50000,0.17052,6.370382509181847,3.648561059741619,1.4415372076682385,1.5406628666340838,0.8269663375077836,3.648561059741619,8.445946072941705,15.689039219197552,22.232767240189272
14,50000,0.19382,5.853945309622372,3.3468921305373094,1.4069371260727646,1.4773467622652785,0.605643578251452,3.3468921305373094,7.883434018082653,14.41971999478778,20.35333940291684
15,50000,0.18636,5.969009785738419,3.4590574430724725,1.4200678610182083,1.4703894794475132,0.6835776638332755,3.4590574430724725,8.037094231493963,14.722094787256792,20.681884076932743
16,50000,0.18912,6.10740495434222,3.509897888527699,1.4377741503433907,1.5030750417267036,0.6667830425563133,3.509897888527699,8.181887390764404,15.150887541688586,21.277575906873235
17,50000,0.19066,6.2078079240026165,3.6320305327169455,1.4692819046204801,1.4830977333256852,0.6749007273066907,3.6320305327169455,8.41628565014076,15.45234146863412,21.563187536563344
18,50000,0.22538,5.722145458558507,3.305529211251778,1.4564407122290064,1.405671378054724,0.32985455555074017,3.305529211251778,7.836636198426614,14.38771903541508,19.89477965664503
19,50000,0.20768,6.022535597469895,3.4001910680515257,1.453794790066015,1.4874069130483774,0.5064464284299055,3.4001910680515257,8.142668419389425,15.10669432894272,21.179852610581126
20,50000,0.19734,5.913374236349788,3.414767913910902,1.4323770802599753,1.4690232294985068,0.6066956607910311,3.414767913910902,8.089533799127778,14.668405998946847,20.54418801931991
