metric,source,label,n_raw,n_positive,n_zero_or_negative,qq_r,log_mean,log_sd,ks_norm_D,ks_norm_p
cumulative,simulation,Zhang-ARW4: cumulative,10000,10000,0,0.9997673934845994,7.066400336969117,0.4563903182967125,0.0063285425249182126,0.815565454554999
cumulative,empirical,Empirical: cumulative,510,510,0,0.9959445310568336,6.927062953561247,1.0148331193805717,0.02576821473811236,0.878380805365754
year20,simulation,Zhang-ARW4: year20,10000,10000,0,0.9546791911858475,2.088420750874971,1.5237024757666255,0.08864481723586165,8.021489876171996e-69
year20,empirical,Empirical: year20,510,438,72,0.9884365581461949,2.426176771676903,1.304720497147538,0.07002273009883153,0.02595763307179455
lastfour,simulation,Zhang-ARW4: lastfour,10000,10000,0,0.9947912445927029,4.407215373766807,0.8710767512548773,0.028990512444813432,9.803432920970824e-08
lastfour,empirical,Empirical: lastfour,1909,1873,36,0.987589256515667,4.123939013227192,1.3439119995590314,0.05628366837327897,1.342838951070502e-05
