cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(8, 12, 16)",80793.47564073402,80965.62075051732,"[15365, 5970, 4249, 2944]",2944,3,12,8,80805.47564073402,80973.62075051732,80797.63452381738,80968.39333923956
"(8, 10, 11)",80793.53097851807,80963.65714952083,"[15365, 3184, 1446, 8533]",1446,3,12,8,80805.53097851807,80971.65714952083,80797.68986160144,80966.42973824307
"(1, 8, 9)",80793.67836247256,80968.73256745635,"[1967, 13398, 1633, 11530]",1633,3,12,8,80805.67836247256,80976.73256745635,80797.83724555593,80971.50515617858
"(8, 16)",80796.74911813982,80968.78781304442,"[15365, 10219, 2944]",2944,2,9,6,80805.74911813982,80974.78781304442,80799.86828045234,80970.86725458609
"(8, 12, 17)",80793.74969654632,80965.85600690452,"[15365, 5970, 5084, 2109]",2109,3,12,8,80805.74969654632,80973.85600690452,80797.90857962969,80968.62859562675
"(8, 9, 14)",80793.78514098468,80967.45781724465,"[15365, 1633, 6669, 4861]",1633,3,12,8,80805.78514098468,80975.45781724465,80797.94402406804,80970.23040596688
"(8, 13, 14)",80793.81522901234,80968.07601981946,"[15365, 7198, 1104, 4861]",1104,3,12,8,80805.81522901234,80976.07601981946,80797.9741120957,80970.8486085417
"(8, 15, 19)",80793.94206843094,80967.8415193866,"[15365, 9308, 3215, 640]",640,3,12,8,80805.94206843094,80975.8415193866,80798.10095151431,80970.61410810883
"(8, 11, 12)",80793.99049638206,80964.8776354564,"[15365, 4630, 1340, 7193]",1340,3,12,8,80805.99049638206,80972.8776354564,80798.14937946542,80967.65022417864
"(8, 14, 15)",80794.0884194731,80967.78332200518,"[15365, 8302, 1006, 3855]",1006,3,12,8,80806.0884194731,80975.78332200518,80798.24730255647,80970.55591072742
"(8, 9, 12)",80794.13118254018,80965.22792044458,"[15365, 1633, 4337, 7193]",1633,3,12,8,80806.13118254018,80973.22792044458,80798.29006562354,80968.00050916681
"(8, 12, 19)",80794.14620589821,80965.62896342178,"[15365, 5970, 6553, 640]",640,3,12,8,80806.14620589821,80973.62896342178,80798.30508898158,80968.40155214402
"(8, 9, 16)",80794.22089093784,80966.57801515626,"[15365, 1633, 8586, 2944]",1633,3,12,8,80806.22089093784,80974.57801515626,80798.3797740212,80969.3506038785
"(8, 15, 17)",80794.32893546353,80967.85772392861,"[15365, 9308, 1746, 2109]",1746,3,12,8,80806.32893546353,80975.85772392861,80798.4878185469,80970.63031265084
"(8, 9, 10)",80794.44448840727,80963.46991783488,"[15365, 1633, 1551, 9979]",1551,3,12,8,80806.44448840727,80971.46991783488,80798.60337149064,80966.24250655712
"(8, 9, 11)",80794.45132875396,80964.79997640233,"[15365, 1633, 2997, 8533]",1633,3,12,8,80806.45132875396,80972.79997640233,80798.61021183732,80967.57256512456
"(8, 16, 18)",80794.72027946546,80968.33520507239,"[15365, 10219, 1603, 1341]",1341,3,12,8,80806.72027946546,80976.33520507239,80798.87916254882,80971.10779379462
"(1, 8, 19)",80794.72397471282,80971.15603597299,"[1967, 13398, 12523, 640]",640,3,12,8,80806.72397471282,80979.15603597299,80798.88285779618,80973.92862469523
"(8, 14, 19)",80794.83332546437,80969.66871802763,"[15365, 8302, 4221, 640]",640,3,12,8,80806.83332546437,80977.66871802763,80798.99220854773,80972.44130674987
"(8, 15, 16)",80794.84386667001,80967.79514300212,"[15365, 9308, 911, 2944]",911,3,12,8,80806.84386667001,80975.79514300212,80799.00274975337,80970.56773172435
"(8, 18, 19)",80795.08377946306,80968.37425457896,"[15365, 11822, 701, 640]",640,3,12,8,80807.08377946306,80976.37425457896,80799.24266254643,80971.14684330119
"(8, 17)",80798.09766726513,80970.03556652708,"[15365, 11054, 2109]",2109,2,9,6,80807.09766726513,80976.03556652708,80801.21682957765,80972.11500806875
"(8, 14, 16)",80795.11102388852,80968.93926942223,"[15365, 8302, 1917, 2944]",1917,3,12,8,80807.11102388852,80976.93926942223,80799.26990697188,80971.71185814447
"(8, 9, 17)",80795.13537213982,80967.45401795638,"[15365, 1633, 9421, 2109]",1633,3,12,8,80807.13537213982,80975.45401795638,80799.29425522318,80970.22660667861
"(8, 14, 17)",80795.18262719389,80969.60137413976,"[15365, 8302, 2752, 2109]",2109,3,12,8,80807.18262719389,80977.60137413976,80799.34151027726,80972.373962862
"(8, 9)",80798.36761574072,80968.30721583826,"[15365, 1633, 11530]",1633,2,9,6,80807.36761574072,80974.30721583826,80801.48677805324,80970.38665737993
"(8, 17, 18)",80795.54638526705,80968.73636067062,"[15365, 11054, 768, 1341]",768,3,12,8,80807.54638526705,80976.73636067062,80799.70526835042,80971.50894939285
"(8, 16, 19)",80795.80501391817,80968.85017696826,"[15365, 10219, 2304, 640]",640,3,12,8,80807.80501391817,80976.85017696826,80799.96389700154,80971.6227656905
"(1, 8)",80798.97735699848,80970.99038868531,"[1967, 13398, 13163]",1967,2,9,6,80807.97735699848,80976.99038868531,80802.096519311,80973.06983022699
"(8, 9, 19)",80796.02790182857,80967.72585036677,"[15365, 1633, 10890, 640]",640,3,12,8,80808.02790182857,80975.72585036677,80800.18678491193,80970.498439089
"(8, 16, 17)",80796.16058612628,80968.82797263765,"[15365, 10219, 835, 2109]",835,3,12,8,80808.16058612628,80976.82797263765,80800.31946920964,80971.60056135988
"(8, 19)",80799.41322798097,80970.7306843549,"[15365, 12523, 640]",640,2,9,6,80808.41322798097,80976.7306843549,80802.53239029349,80972.81012589658
"(1, 3, 13)",80796.60265495241,80986.9249034307,"[1967, 4029, 16567, 5965]",1967,3,12,8,80808.60265495241,80994.9249034307,80800.76153803577,80989.69749215293
"(3, 13)",80800.01649836561,80992.58466545398,"[5996, 16567, 5965]",5965,2,9,6,80809.01649836561,80998.58466545398,80803.13566067813,80994.66410699565
"(3, 13, 18)",80797.50125596691,80991.82738722113,"[5996, 16567, 4624, 1341]",1341,3,12,8,80809.50125596691,80999.82738722113,80801.66013905028,80994.59997594336
"(2, 3, 13)",80797.56051644741,80993.60868611012,"[3972, 2024, 16567, 5965]",2024,3,12,8,80809.56051644741,81001.60868611012,80801.71939953078,80996.38127483235
"(8, 17, 19)",80797.64214515565,80969.97746189537,"[15365, 11054, 1469, 640]",640,3,12,8,80809.64214515565,80977.97746189537,80801.80102823902,80972.7500506176
"(8,)",80803.66661026663,80970.56503706722,"[15365, 13163]",13163,1,6,4,80809.66661026663,80974.56503706722,80805.74605180831,80971.95133142834
"(2, 11, 18)",80797.86624110493,80984.67531919308,"[3972, 16023, 7192, 1341]",1341,3,12,8,80809.86624110493,80992.67531919308,80802.0251241883,80987.44790791531
"(1, 2, 11)",80798.21751946345,80979.7429088884,"[1967, 2005, 16023, 8533]",1967,3,12,8,80810.21751946345,80987.7429088884,80802.37640254681,80982.51549761063
"(2, 11, 13)",80798.29458026442,80985.98254590447,"[3972, 16023, 2568, 5965]",2568,3,12,8,80810.29458026442,80993.98254590447,80802.45346334779,80988.7551346267
"(2, 11, 15)",80798.72627940949,80985.16361772164,"[3972, 16023, 4678, 3855]",3855,3,12,8,80810.72627940949,80993.16361772164,80802.88516249285,80987.93620644388
"(3, 13, 19)",80798.7800030211,80992.78014087619,"[5996, 16567, 5325, 640]",640,3,12,8,80810.7800030211,81000.78014087619,80802.93888610446,80995.55272959842
"(2, 11, 14)",80798.9523425183,80985.87321434355,"[3972, 16023, 3672, 4861]",3672,3,12,8,80810.9523425183,80993.87321434355,80803.11122560166,80988.64580306578
"(3, 13, 15)",80799.07152693083,80991.9538166846,"[5996, 16567, 2110, 3855]",2110,3,12,8,80811.07152693083,80999.9538166846,80803.23041001419,80994.72640540684
"(3, 13, 17)",80799.19054273561,80992.7833537021,"[5996, 16567, 3856, 2109]",2109,3,12,8,80811.19054273561,81000.7833537021,80803.34942581897,80995.55594242434
"(2, 11)",80802.20736706594,80985.83987217426,"[3972, 16023, 8533]",3972,2,9,6,80811.20736706594,80991.83987217426,80805.32652937846,80987.91931371593
"(3, 13, 16)",80799.40585091163,80992.33721131747,"[5996, 16567, 3021, 2944]",2944,3,12,8,80811.40585091163,81000.33721131747,80803.564733995,80995.1098000397
