stage,source,mu,alpha,ks_D,n
B. years 1-4,Empirical,-0.04601056200828668,3.8414336972924317,0.06941367904075091,7993
B. years 1-4,Zhang-ARW4,-0.13312398025396233,3.9033474231955196,0.029638099278208152,40000
C. years 5-7,Empirical,-0.18031012377422684,3.6098973081023926,0.08266958042234063,5405
C. years 5-7,Zhang-ARW4,-0.6481937136001101,3.7570683919588745,0.020730649045362246,30000
D. years 8-20,Empirical,-0.08593075892234125,3.2560027326890824,0.09337357967708293,13163
D. years 8-20,Zhang-ARW4,-0.4336612761808228,3.271047616731393,0.023522594056492985,120000
