source,year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
empirical,0,1967,0.18200305033045247,4.536448002095241,3.3456189356921056,1.168828875174183,1.1163551499551774,1.455863227610082,0.5064868129898126,1.5558980742087662,3.3456189356921056,6.223592296835065,10.036856807076315,13.344467795346803
empirical,1,2005,0.1256857855361596,5.861101160587133,4.667694222626299,1.451885995921734,1.0424425905800125,1.6515194032976164,0.5213673864976508,2.315378181458927,4.667694222626299,8.13951419978478,12.2618015260278,15.393740092349397
empirical,2,2024,0.09535573122529645,7.031517837065707,5.549047000824661,1.6313983109536272,1.0046583179218707,1.7771574635816638,0.5702903101127595,2.7131713999282603,5.549047000824661,9.818173833806917,14.513321565836097,18.670776890505195
empirical,3,2019,0.09014363546310054,7.582508293151904,6.157757287845962,1.711647728277065,1.004704330269818,1.8575396682145993,0.560831434745675,3.0041352414731692,6.157757287845962,10.41920181656517,15.518764501296014,19.636347667613833
empirical,4,1945,0.08688946015424165,8.010238761207757,6.691237871384211,1.7692920313420706,1.007787560298167,1.9162380005450557,0.5538565749689293,3.3456189356921056,6.691237871384211,11.220770095779333,16.52274382810243,20.589422673896635
empirical,5,1882,0.09086078639744952,7.64580385306108,6.157757287845962,1.7145503916643725,1.0170444589773333,1.8631169447258398,0.5679798220517007,3.0041352414731692,6.157757287845962,10.514473345156093,15.868854919972351,19.70421075678547
empirical,6,1798,0.08898776418242492,7.312483512941352,5.853085487032883,1.6724935360537627,0.998812039426725,1.8051471561648336,0.5938054986748457,2.805192523944833,5.853085487032883,9.85241166055354,14.792087963856508,19.096095586647554
empirical,7,1725,0.10840579710144928,6.968893444533774,5.411175082295543,1.5847663569922694,1.0930069372125748,1.7592318148276813,0.6167607453448593,2.4119594510180393,5.411175082295543,9.55000892387447,15.260832383720686,19.045488143700574
empirical,8,1633,0.10287813839559094,6.848606841467847,5.20913670201103,1.5803333116717344,1.0583425193986231,1.7357814627041788,0.6222710663168777,2.4119594510180393,5.20913670201103,9.496099899748913,14.43893563756692,19.516922601896002
empirical,9,1551,0.10767246937459704,6.714034411593053,5.048483260875706,1.544030934755114,1.0947704640332745,1.7037422881649966,0.6652143119074723,2.246518049755739,5.048483260875706,9.228809410598725,14.922442699605432,19.030140484099338
empirical,10,1446,0.11894882434301521,6.612720758894218,4.9262058302767695,1.5129751393192734,1.1479565463950208,1.7000624179532444,0.6733700571725603,2.180725335651527,4.9262058302767695,9.261512725835708,15.020676207365844,18.637124006138393
empirical,11,1340,0.1253731343283582,6.457562506059991,4.9262058302767695,1.4904170604319165,1.1470096164190076,1.6940729989305472,0.6363329799105021,2.209297097449406,4.9262058302767695,8.992655580372094,13.891154993701825,18.763627529775587
empirical,12,1228,0.12947882736156352,6.421420192059244,4.775004461937235,1.4590345386912569,1.1851485979320375,1.6647744835593123,0.6886926618850918,1.8037250274318477,4.775004461937235,8.620860202984346,14.222003755127927,19.100167907373773
empirical,13,1104,0.15217391304347827,6.151789844782042,4.353094199477136,1.3838988374276977,1.2671711083664328,1.6400871502494903,0.6998504355449913,1.6728094678460528,4.353094199477136,8.710366634867231,14.025962619724163,17.624160453768425
empirical,14,1006,0.1441351888667992,6.294480434494356,4.418594194898812,1.4160246901073044,1.2504353635162462,1.6557041767564054,0.7056324663957514,1.6728094678460528,4.418594194898812,8.706188398954271,14.441219492094955,18.53616535303798
