CareerAge,W1_log1p,W1_raw
0,0.204632874277,0.5796029847200972
1,0.17795064073909922,0.5181568795533235
2,0.15793753159664808,0.6751560964804746
3,0.1273401846494578,0.5224472141137567
4,0.15751297776729783,0.6035579753166371
5,0.11325350447065376,0.600284235667826
6,0.08827610174713987,0.4675169749528069
7,0.13435108962520934,0.7497214264845047
8,0.09520538533436097,0.6330990829525944
9,0.14301238512882936,1.1157878628791513
10,0.16346853559614372,1.228718041313611
11,0.1551104374684142,1.3196041927683393
12,0.12990391424217693,1.2023652399457232
13,0.19139928219669414,1.4755117871723653
14,0.16835539165274283,1.5068388499553396
15,0.181552256485925,1.6443663965502027
16,0.16303008790246343,1.410615123549682
17,0.1990364609971096,1.3912667319903835
18,0.16820616681756106,1.4775281667522904
19,0.20042981988954917,1.3718911597172085
20,0.22643675810512875,1.4620619418968932
