cutoffs,cutoff_start,cutoff_end,alpha,mode_beta,mode_mu,nll_mode,nll_mode_fixed,n
"(4, 7, 13)",0,4.0,4.454493738409981,0.8059972738967998,-0.37235745311448554,22029.397183086894,22155.405805945436,8015
"(4, 7, 13)",4,7.0,4.25250749237985,0.7253946349242596,0.0704976586740198,15397.188907815784,15410.773326753506,5625
"(4, 7, 13)",7,13.0,3.780785909575442,0.726606942246617,-0.625004889167954,23254.155604523752,23278.87263553006,8923
"(4, 7, 13)",13,inf,3.520843831401755,0.754281235451719,-0.02058146494464097,15123.923098384366,15165.218179990303,5965
