stage,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid
0-4,10918,0.8450125122403136,0.4714860238720551,0.9701015841501998,0.9410970835707271,1.5988461051326093,1.210101528907625,4.464483575118417e-16,0.9701015841501998
5-7,6401,0.6811030267191706,0.544705856105458,0.9133779728045586,0.8342593212045649,1.4959626339427106,1.1862144507298846,-2.8861289063837844e-17,0.9133779728045586
8-13,10496,0.554352716574995,0.5898908426992883,0.9027086264209639,0.8148828642148235,1.3517199182375654,1.2497651516143757,4.928307084921427e-16,0.9027086264209639
14-20,6886,0.47440755549111824,0.6277936641797224,0.9012922810524123,0.8123277758846607,1.274582160041975,1.3407511803737464,1.2795134945433115e-16,0.9012922810524123
