model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
hurdle_ar1_pg_zr_pad,simulated,B. years 1-4,40000,0.29015867710045745,4.282190615992768,0.05366298618159765,0.7167512698225758,6.88498734346779,-18.228526195017565,0.29015867710045745,22.211284614164995
hurdle_ar1_pg_zr_pad,simulated,C. years 5-7,30000,0.0,4.366541683649233,0.0492953591546712,-0.3481343926737141,7.080073896147574,-22.061966435952336,0.0,19.76799811793829
hurdle_ar1_pg_zr_pad,simulated,D. years 8-20,120000,0.0,3.8572924935862374,0.04487871288790812,-0.042417792461650235,6.594867502728768,-19.342169060220883,0.0,19.4251132758574
