year,n,frac_zero,mean_prod,median_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,50000,0.20858,4.319175644649354,3.599285901655728,1.4471956341250438,0.5862554780263146,1.0976589372560845,3.599285901655728,6.422423961507404,9.687649803671755,11.957967820141842
1,50000,0.20918,4.670055995081959,3.451466986772425,1.4457489073848777,0.7820293936992281,1.0077774794112309,3.451466986772425,6.526852425565804,10.795206387631868,14.138754403610974
2,50000,0.15098,5.8930211818885825,4.439195291528527,1.5902457503413254,0.8562426978092161,1.848998128980217,4.439195291528527,8.024275104407918,13.024326102624215,17.051004315808814
3,50000,0.12354,6.973209275686074,5.090986975306873,1.7172734441377888,0.8265572350449202,2.347496009508304,5.090986975306873,9.226335067349424,15.189362623327774,20.341338825191308
4,50000,0.12134,7.371523010557927,5.44589621325478,1.785526623455049,0.7862510217616948,2.5696685734014015,5.44589621325478,9.827861031292418,16.115447678134927,21.405964078252023
5,50000,0.11984,7.567230895923274,5.6805785836622995,1.8231499892882752,0.7544211758649502,2.7264182330250097,5.6805785836622995,10.074601431813848,16.260430594897983,21.59712441792314
6,50000,0.12634,7.170412681662146,5.256269262534285,1.7674537012908669,0.764261818719763,2.4787236321684047,5.256269262534285,9.524996055839548,15.66231493680921,20.906869125756437
7,50000,0.12364,6.866613767900534,5.009575052358935,1.710531303943936,0.7926054290076843,2.342236350407126,5.009575052358935,9.069761377782505,15.006026219664395,20.095776166065956
8,50000,0.13634,6.6342777685595005,4.677666511696435,1.6724638400900231,0.8175805345261258,2.0947029477443513,4.677666511696435,8.768994069378797,14.717562267091514,19.767090606677648
9,50000,0.12988,6.494392943545165,4.581645401750375,1.6424905026815402,0.8234924453946696,2.08762160901762,4.581645401750375,8.488182418460603,14.380374759113591,19.533982336037777
10,50000,0.14176,6.387522836070964,4.419698956866897,1.632462344179761,0.8248709655845817,1.966971526784199,4.419698956866897,8.351352471952112,14.246019331775447,19.581161810016347
11,50000,0.13956,6.382382074279904,4.397096786967548,1.6201081407954547,0.8490207801705378,1.8864429842122674,4.397096786967548,8.370890893458856,14.281802829282686,19.410152052872327
12,50000,0.14218,6.096434462016053,4.298018691802804,1.5964267129862562,0.8139247524660803,1.8706601018197664,4.298018691802804,8.083997548772452,13.590421228500054,18.511560619686485
13,50000,0.13656,6.120214687480359,4.170521411996734,1.5639551376737912,0.8649432939897563,1.7946306512623909,4.170521411996734,7.9107958004931875,13.646692037062817,18.959500271979245
14,50000,0.15014,5.766499687532377,3.8667399857113933,1.5203846255996476,0.8524942822470043,1.6054501216847903,3.8667399857113933,7.509656622188089,13.172289783103356,18.110304283413186
15,50000,0.14196,5.868046707160301,3.9267791382258164,1.5175693956222474,0.891040061943958,1.6357112629789303,3.9267791382258164,7.6375962963693835,13.353319320878754,18.461063805243537
16,50000,0.14346,5.970788160750798,3.9990456320777943,1.5397693987909433,0.8801730290441192,1.6727460408061134,3.9990456320777943,7.748672300567452,13.629587910922492,18.781732924675904
17,50000,0.13974,6.145395003994431,4.146372105225241,1.567340067052132,0.8838256456373703,1.7674873335107213,4.146372105225241,8.025234781904349,13.753173220849169,19.13294375140723
18,50000,0.16634,5.825113773675775,3.86466544618807,1.5453332717735286,0.8732041165116952,1.5050005149877803,3.86466544618807,7.675604141270532,13.349299223492565,18.520839019987356
19,50000,0.15218,5.954567195325014,3.9864235760712097,1.5462820922961813,0.892025483517393,1.619964266958612,3.9864235760712097,7.788881878092719,13.49267547794141,18.76199255350897
20,50000,0.14514,5.903817068023258,3.9327931548922335,1.5209643956669836,0.9026068892301979,1.61190397909009,3.9327931548922335,7.65238535223756,13.396373101590527,18.62574150372127
