year,n_active_transitions,observed_dropout_rate,dropout_intercept,dropout_gamma_log1p_q,dropout_delta_log1p_active_run_excess,active_duration_effect_direction,pred_drop_q25_run1,pred_drop_q50_run1,pred_drop_q75_run1,pred_drop_q95_run1,pred_drop_q50_run2,pred_drop_q50_run5,pred_drop_q50_run10
0,1633,0.16411512553582364,-0.2754948383638437,0.840087227436458,-0.9965346786447429,lower dropout,0.18438983152936964,0.13131075339618242,0.09172550730722137,0.05621334914722379,0.07042599447571968,0.029504055998601803,0.015008376170816684
1,1710,0.10877192982456141,-0.23454034904375934,0.840087227436458,-0.9965346786447429,lower dropout,0.19062875642617205,0.1360533071241727,0.09519503308392613,0.05842603074785329,0.07315475381508867,0.030699598820283114,0.0156259926338465
2,1879,0.07503991484832358,-0.31867602475073026,0.840087227436458,-0.9965346786447429,lower dropout,0.1779840986898517,0.1264630817787723,0.08819086315768083,0.053965858430492966,0.0676509935250306,0.028292428989875475,0.014383212930214094
3,1989,0.0824534942182001,0.06908127809583976,0.840087227436458,-0.9965346786447429,lower dropout,0.24189682047051075,0.17583239566120862,0.12475303598682166,0.07754574540295028,0.09659989619904459,0.0411423997815086,0.02105270882895945
4,1997,0.0756134201301953,0.21023083440463936,0.840087227436458,-0.9965346786447429,lower dropout,0.2687136745549933,0.19723072425068763,0.14099861533663643,0.08826383475988407,0.10963856390966274,0.047085781764605115,0.02416710355321509
5,1942,0.07723995880535531,0.4102704195794314,0.840087227436458,-0.9965346786447429,lower dropout,0.30978618726618434,0.2308259120662428,0.1670082008958143,0.1057430912340794,0.13074374208427336,0.05691946972051003,0.029361796029903155
6,1880,0.07819148936170213,0.4783529616950331,0.840087227436458,-0.9965346786447429,lower dropout,0.32452873364297924,0.2431344612534486,0.17669548128783724,0.11235602821196333,0.13867770513278138,0.06068629155869012,0.031365557855375585
7,1806,0.09523809523809523,0.7168386027275253,0.840087227436458,-0.9965346786447429,lower dropout,0.37882207967877735,0.28964982815378093,0.21409556915941455,0.13842750584971616,0.169689342757531,0.0757918859278643,0.039479596148669555
8,1710,0.08596491228070176,0.5813873980684572,0.840087227436458,-0.9965346786447429,lower dropout,0.34751006082002867,0.2625926369144341,0.19218666457636668,0.12304952095671254,0.15144893611028987,0.06683237417415783,0.03465169123715216
9,1636,0.09352078239608802,0.6778449986817943,0.840087227436458,-0.9965346786447429,lower dropout,0.3696905690888774,0.2816930568163481,0.20760770932236697,0.13384215071557076,0.16426588532417222,0.07310526330333314,0.03802718679295253
10,1538,0.0929778933680104,0.6889064857480472,0.840087227436458,-0.9965346786447429,lower dropout,0.3722718050615997,0.28393665606693025,0.20943328442312545,0.1351296932795061,0.16579007996413236,0.07385834789784525,0.038433902591069415
11,1444,0.09695290858725762,0.7422490393939053,0.840087227436458,-0.9965346786447429,lower dropout,0.3848197048244743,0.2949059081850834,0.21840215049387232,0.14148602624559567,0.17329965120047428,0.0775911205821952,0.04045454060622266
12,1340,0.0873134328358209,0.5888379974709786,0.840087227436458,-0.9965346786447429,lower dropout,0.34920137427748243,0.2640379039156252,0.19334603073572168,0.12385576335082488,0.15240891724993974,0.06729853915052895,0.03490178683211503
13,1252,0.10862619808306709,0.8151300215453334,0.840087227436458,-0.9965346786447429,lower dropout,0.4022113708028891,0.3102835690684617,0.23109806812784153,0.15057210096940016,0.1839909118610704,0.08297049245949803,0.043380328340791544
14,1110,0.0990990990990991,0.6939620795450206,0.840087227436458,-0.9965346786447429,lower dropout,0.3734539849324822,0.28496566419069896,0.2102715737125975,0.13572162945001395,0.1664904693471907,0.07420491305982554,0.0386211774503187
15,1041,0.11047070124879924,0.7927749927550564,0.840087227436458,-0.9965346786447429,lower dropout,0.39684833346868015,0.3055198233009885,0.22714966343629897,0.14773516834289627,0.1806582488493158,0.08128535920487627,0.042462040617351315
16,955,0.10157068062827225,0.6873490903451736,0.840087227436458,-0.9965346786447429,lower dropout,0.37190793678080986,0.28362011825755185,0.20917554162184912,0.1349477844154137,0.16557479846872744,0.07375188760094298,0.038376387693321905
17,892,0.13452914798206278,1.0716793668514595,0.840087227436458,-0.9965346786447429,lower dropout,0.465129167936622,0.36766559043972985,0.279776213647125,0.1864003443409553,0.22565857226103603,0.10469573191221232,0.05536502660951065
18,804,0.10323383084577115,0.7526981677603067,0.840087227436458,-0.9965346786447429,lower dropout,0.3872963217083834,0.29708330893882967,0.22019109200593348,0.14276001914296665,0.17480177944082573,0.07834228105799218,0.04086210793416437
19,764,0.10863874345549739,0.724884178061729,0.840087227436458,-0.9965346786447429,lower dropout,0.38071716896036645,0.291308025216583,0.21545242065496872,0.13938985840778165,0.17082593745996924,0.07635738517015439,0.03978582504267663
