year,dropout_intercept,dropout_gamma_log1p_q,dropout_delta_log1p_active_run_excess,pred_drop_q50_active_run1,pred_drop_q50_active_run2,pred_drop_q50_active_run5,pred_drop_q50_active_run10,restart_intercept,restart_rho_zero_run_excess,pred_restart_run1,pred_restart_run2,pred_restart_run3,pred_restart_run5
0,-0.2754948383638437,0.840087227436458,-0.9965346786447429,0.13131075339618242,0.07042599447571968,0.029504055998601803,0.015008376170816684,0.48876595053289146,0.2992232754767833,0.6198156787670794,0.5472443101178586,0.47260730518845795,0.33001280326429216
1,-0.23454034904375934,0.840087227436458,-0.9965346786447429,0.1360533071241727,0.07315475381508867,0.030699598820283114,0.0156259926338465,0.888162947147258,0.2992232754767833,0.7085109239184877,0.6431218201731438,0.5719267006069205,0.4234247239096557
2,-0.31867602475073026,0.840087227436458,-0.9965346786447429,0.1264630817787723,0.0676509935250306,0.028292428989875475,0.014383212930214094,0.7718682107064394,0.2992232754767833,0.6839248865999509,0.6160095857311401,0.5432470809726594,0.3953149652518989
3,0.06908127809583976,0.840087227436458,-0.9965346786447429,0.17583239566120862,0.09659989619904459,0.0411423997815086,0.02105270882895945,0.7622265197331651,0.2992232754767833,0.6818369400089226,0.6137263868889241,0.5408537117464419,0.3930125471414389
4,0.21023083440463936,0.840087227436458,-0.9965346786447429,0.19723072425068763,0.10963856390966274,0.047085781764605115,0.02416710355321509,0.6291110530872556,0.2992232754767833,0.652287868865478,0.5817320711552496,0.5076655248776138,0.3617487628602473
5,0.4102704195794314,0.840087227436458,-0.9965346786447429,0.2308259120662428,0.13074374208427336,0.05691946972051003,0.029361796029903155,0.5239239546754229,0.2992232754767833,0.6280648594202881,0.5559399982417006,0.4813779684359985,0.33783231820381043
6,0.4783529616950331,0.840087227436458,-0.9965346786447429,0.2431344612534486,0.13867770513278138,0.06068629155869012,0.031365557855375585,0.6827109807220522,0.2992232754767833,0.6643434913790811,0.5947140188609786,0.5210536513055097,0.3742136515777118
7,0.7168386027275253,0.840087227436458,-0.9965346786447429,0.28964982815378093,0.169689342757531,0.0757918859278643,0.039479596148669555,0.7037077105668387,0.2992232754767833,0.6690093060885003,0.5997646154109868,0.5262910192039258,0.3791434584756249
8,0.5813873980684572,0.840087227436458,-0.9965346786447429,0.2625926369144341,0.15144893611028987,0.06683237417415783,0.03465169123715216,0.6805973381259561,0.2992232754767833,0.6638720040426942,0.5942044673432602,0.520526154264561,0.37371881516117633
9,0.6778449986817943,0.840087227436458,-0.9965346786447429,0.2816930568163481,0.16426588532417222,0.07310526330333314,0.03802718679295253,0.3775999837712972,0.2992232754767833,0.5932941180370409,0.5195841527951561,0.44501167315502016,0.3059137318906052
10,0.6889064857480472,0.840087227436458,-0.9965346786447429,0.28393665606693025,0.16579007996413236,0.07385834789784525,0.038433902591069415,0.5131280042994104,0.2992232754767833,0.6255394649425158,0.5532732095962121,0.47868329257931785,0.33542149054953635
11,0.7422490393939053,0.840087227436458,-0.9965346786447429,0.2949059081850834,0.17329965120047428,0.0775911205821952,0.04045454060622266,0.5495107487740076,0.2992232754767833,0.6340220735394803,0.5622472565969412,0.48776849027037084,0.34357966026796294
12,0.5888379974709786,0.840087227436458,-0.9965346786447429,0.2640379039156252,0.15240891724993974,0.06729853915052895,0.03490178683211503,0.4241297581912215,0.2992232754767833,0.6044710411810329,0.531186085072586,0.4565308185639615,0.3158816428982414
13,0.8151300215453334,0.840087227436458,-0.9965346786447429,0.3102835690684617,0.1839909118610704,0.08297049245949803,0.043380328340791544,0.430526318200003,0.2992232754767833,0.605999341352271,0.5327786808331935,0.4581183078136648,0.31726556743294687
14,0.6939620795450206,0.840087227436458,-0.9965346786447429,0.28496566419069896,0.1664904693471907,0.07420491305982554,0.0386211774503187,0.5495176732601472,0.2992232754767833,0.6340236802824842,0.5622489608872899,0.48777022035608114,0.3435812219675526
15,0.7927749927550564,0.840087227436458,-0.9965346786447429,0.3055198233009885,0.1806582488493158,0.08128535920487627,0.042462040617351315,0.6685959733779584,0.2992232754767833,0.6611887029007207,0.5913073914380627,0.5175301674516247,0.37091414326394334
16,0.6873490903451736,0.840087227436458,-0.9965346786447429,0.28362011825755185,0.16557479846872744,0.07375188760094298,0.038376387693321905,0.522468475130103,0.2992232754767833,0.6277247969575747,0.5555806537691368,0.4810146131934723,0.33750680192783666
17,1.0716793668514595,0.840087227436458,-0.9965346786447429,0.36766559043972985,0.22565857226103603,0.10469573191221232,0.05536502660951065,0.3804329554422969,0.2992232754767833,0.5939775222767898,0.520291269452955,0.4457114585155482,0.306515588763155
18,0.7526981677603067,0.840087227436458,-0.9965346786447429,0.29708330893882967,0.17480177944082573,0.07834228105799218,0.04086210793416437,0.37793044554025096,0.2992232754767833,0.5933738547496067,0.519666640957806,0.4450932908570675,0.30598390351005805
19,0.724884178061729,0.840087227436458,-0.9965346786447429,0.291308025216583,0.17082593745996924,0.07635738517015439,0.03978582504267663,0.5828708187254253,0.2992232754767833,0.6417277138217106,0.570440239983074,0.49610614566451594,0.3511422076483961
