CareerAge,emp_mean,sim_mean,emp_zero_frac,sim_zero_frac
0,4.3046789420568725,4.316330641495952,0.17896907216494845,0.21048
1,4.619203503531044,5.468144327647821,0.17855670103092783,0.2187
2,5.890874640023585,6.416547339533409,0.13319587628865978,0.1501
3,7.039266468767511,7.197692512171851,0.10639175257731959,0.11902
4,7.484362476720373,7.721295767416696,0.10845360824742269,0.1242
5,7.7293193247281256,8.169775549679231,0.10680412371134021,0.12122
6,7.404819046936149,7.87292770010957,0.1088659793814433,0.1271
7,7.071913207324961,7.890225288457487,0.10474226804123711,0.12432
8,6.734257737938087,7.863694077041336,0.1134020618556701,0.13678
9,6.546520957970945,7.511087625290111,0.10680412371134021,0.12762
10,6.428625690650365,7.247747873462738,0.11463917525773196,0.14524
11,6.364626498826174,7.1469454902100935,0.11051546391752577,0.14512
12,6.141685701181883,7.0547252920803425,0.10762886597938144,0.14868
13,6.091512897369658,6.967795911738622,0.1002061855670103,0.14594
14,5.809829616526079,6.774370176590253,0.10597938144329896,0.16548
15,5.842097404055951,6.894855661211786,0.09525773195876289,0.15598
16,5.929018305152409,6.869594990077981,0.09072164948453608,0.16198
17,6.000177970227081,6.835995660507968,0.08453608247422681,0.16192
18,5.775772777813434,6.674426356118665,0.09237113402061856,0.19412
19,5.903256231546411,6.698883372446881,0.08,0.17912
20,5.797863158935677,6.689245622373199,0.07175257731958763,0.1715
