source,gini,top10_share,top5_share,top1_share,n
emp,0.3695695463943687,0.26509331693421606,0.16017570060275074,0.04153376116262829,690
sim,0.3528887995645005,0.2713763776948702,0.16491115010097243,0.04636397116889166,50000
