CareerAge,emp_mean,uncal_sim_mean,cal_sim_mean,emp_zero_frac,uncal_sim_zero_frac,cal_sim_zero_frac
0,4.3046789420568725,4.3004971849429054,4.3004971849429054,0.17896907216494845,0.20541666666666666,0.20541666666666666
1,4.619203503531044,5.6591558172460426,5.529442502163752,0.17855670103092783,0.21258333333333335,0.21258333333333335
2,5.890874640023585,6.702621771244024,6.452817205955398,0.13319587628865978,0.14966666666666667,0.151
3,7.039266468767511,7.58316982564063,7.254035732556034,0.10639175257731959,0.11733333333333333,0.11858333333333333
4,7.484362476720373,8.155840702036915,7.71903387821945,0.10845360824742269,0.12483333333333334,0.12308333333333334
5,7.7293193247281256,8.774757599594817,8.243593316770674,0.10680412371134021,0.11441666666666667,0.11708333333333333
6,7.404819046936149,8.443508963802213,7.9017013494433606,0.1088659793814433,0.11616666666666667,0.12308333333333334
7,7.071913207324961,8.444373578428136,7.938433004794482,0.10474226804123711,0.11891666666666667,0.12225
8,6.734257737938087,8.466624883747286,7.868457523289001,0.1134020618556701,0.13108333333333333,0.13883333333333334
9,6.546520957970945,8.150403894742524,7.490520347172052,0.10680412371134021,0.11733333333333333,0.12525
10,6.428625690650365,8.001159330527845,7.279607557033259,0.11463917525773196,0.13825,0.149
11,6.364626498826174,7.831102891679614,7.094811873817434,0.11051546391752577,0.13758333333333334,0.14683333333333334
12,6.141685701181883,7.729360055898804,6.979948490289753,0.10762886597938144,0.14075,0.15158333333333332
13,6.091512897369658,7.650290418441671,6.844465708302768,0.1002061855670103,0.14116666666666666,0.1525
14,5.809829616526079,7.498738740084241,6.667721724788911,0.10597938144329896,0.15916666666666668,0.17216666666666666
15,5.842097404055951,7.475303819150545,6.75869020066677,0.09525773195876289,0.1555,0.16375
16,5.929018305152409,7.488640394824661,6.7341916461692986,0.09072164948453608,0.15558333333333332,0.16916666666666666
17,6.000177970227081,7.4250673921454995,6.709907751102345,0.08453608247422681,0.15833333333333333,0.16475
18,5.775772777813434,7.2329367446976525,6.56990160468942,0.09237113402061856,0.18633333333333332,0.19208333333333333
19,5.903256231546411,7.334078417057841,6.659780623622622,0.08,0.17383333333333334,0.17925
20,5.797863158935677,7.346482634529657,6.653231787465328,0.07175257731958763,0.16875,0.173
