CareerAge,emp_q0.1,sim_q0.1,emp_q0.25,sim_q0.25,emp_q0.5,sim_q0.5,emp_q0.75,sim_q0.75,emp_q0.9,sim_q0.9
0,0.0,0.0,1.4510313998257118,0.28244393071646684,3.2254690051933212,2.492320696443758,6.0082704829463385,6.254348915623037,9.65355164637372,11.309927003358371
1,0.0,0.0,1.4025962619724166,0.41965124324451064,3.3456189356921056,3.4342768271983863,6.223592296835065,8.053269530087292,10.22004238204524,13.998505319760422
2,0.0,0.0,2.117645581083474,1.289708620315365,4.667694222626299,4.35747456591446,8.323570501236992,9.404238543084585,12.621855613858008,15.6205944159132
3,0.0,0.0,2.625676271289992,1.7983400610042675,5.549047000824661,5.164920711954068,9.758991774776097,10.499051246510781,14.922442699605432,16.958555912885977
4,0.0,0.0,2.7745235004123305,1.9536273646297637,5.968755577421544,5.642980208159795,10.41920181656517,11.322054844772762,15.558980742087662,18.08074440695627
5,0.0,0.0,2.9020627996514237,2.1183040307122263,6.352936743250421,6.115012523072519,10.891286519461364,11.954122881992898,16.263842506201264,18.905377204402846
6,0.0,0.0,2.7131713999282603,1.8060031205082554,5.706962338371138,5.655029283287418,10.169643289973786,11.519462220649661,16.092192202696477,18.71302390378067
7,0.0,0.0,2.4631029151383848,1.819627157549827,5.549047000824661,5.596147396009838,9.755142478388136,11.504070430756704,14.872980883594874,18.830519200705467
8,0.0,0.0,2.209297097449406,1.7077150398491285,5.084821644986893,5.517450089969284,9.261512725835708,11.580814853282194,14.922442699605432,18.928242343224223
9,0.0,0.0,2.209297097449406,1.6744894232251162,4.775004461937235,5.227901252959202,9.189866949514972,10.916662849838737,14.314712422743336,18.09464520341834
10,0.0,0.0,2.0317148221611325,1.4089440109048996,4.6144047052993615,4.959021198102483,9.012405724419509,10.609395152957614,14.602367323412304,17.714716384751803
11,0.0,0.0,1.8394423842317504,1.3560605066748608,4.6144047052993615,4.8838173940770115,9.084971073854494,10.415269881669783,14.814538752233512,17.48544655658805
12,0.0,0.0,1.8037250274318477,1.3373782088907964,4.361450671303054,4.7742133431661955,8.620860202984346,10.231032745445006,13.5658569996413,17.26278504969824
13,0.0,0.0,1.6728094678460528,1.316145839035749,4.353094199477136,4.6931241953717215,8.103823635106245,10.131258661668923,14.055713032126322,17.098079012968835
14,0.0,0.0,1.5020676207365846,1.0909434579705994,3.7503194820633063,4.451163775469611,7.934427459986176,9.881499638058916,13.815903767917975,16.860006071682687
15,0.0,0.0,1.4025962619724166,1.2592111459263262,3.7503194820633063,4.616572396001007,8.103823635106245,9.999721644984065,13.887348464702525,16.9003616147538
16,0.0,0.0,1.5020676207365846,1.2159131171791757,3.938514406934989,4.5955128459117205,8.103823635106245,9.988365015552459,13.60237670549272,16.923912400563527
17,0.0,0.0,1.5020676207365846,1.1961006242039416,4.20778878591725,4.589527111061569,8.706188398954271,9.919894056157194,14.003082667878896,16.845627094657896
18,0.0,0.0,1.2315514575691924,0.8036901020476769,4.063429644322265,4.367189194762469,8.13951419978478,9.781231928184415,13.5658569996413,16.76238338769012
19,0.0,0.0,1.35658569996413,0.9849668679267563,3.6510522137856363,4.342316266003749,7.891378475399026,9.783207655016597,14.461947843943609,16.74062007662212
20,0.0,0.0,1.312838135644996,1.0358463399342508,3.694654372707577,4.385553929058745,7.779490371043831,9.702785450923773,14.512032608302249,16.622651138897943
