transition,source,n,mu,alpha,ks_D,ks_p
0->0,emp,2318,0.0,0.0,,
0->0,sim,67043,0.0,0.0,,
0->1,emp,3061,3.2254690051933212,2.303227791310413,0.1951845774555409,1.2174430884853198e-102
0->1,sim,86113,2.9260046853099855,2.039902391077477,0.11913865568001772,0.0
1->0,emp,2823,-3.3456189356921056,2.25818522647562,0.1841784527165331,2.743304544312163e-84
1->0,sim,84164,-2.8132430260738297,2.4442047116885166,0.15816344953538708,0.0
1->1,emp,26499,-0.13158542820842456,3.7403489310840157,0.06428570146466517,1.1898310652106675e-95
1->1,sim,762680,-0.24317236628005112,4.036033676416528,0.020285288512175453,4.726903980537647e-273
