stage,drift_offset_delta_loc,dropout_logit_offset,objective,calibration_n,calibration_seed
0-4,-0.334822839744239,-1.6256587413099013e-08,0.05853322675857618,12000,711
5-7,-0.23539682926410369,-1.6256587413099013e-08,0.05853322675857618,12000,711
8-13,-0.34189858340939316,-1.6256587413099013e-08,0.05853322675857618,12000,711
14-20,-0.18616737460400973,-1.6256587413099013e-08,0.05853322675857618,12000,711
