year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,10000,0.0,4.318664786285919,3.0190734347648633,1.2036033872235077,0.785622270262192,1.2737659733028033,3.0190734347648633,5.91870334478438,9.9581545934628,12.981017611491229
1,10000,0.0459,5.1757090345408985,2.709133227582117,1.1731610807497375,1.0963938468773817,1.0244364908839378,2.709133227582117,6.168667488475454,12.38259073182718,18.259487999006684
2,10000,0.0252,6.834666235682095,3.6668295371326445,1.4257229295674312,1.115678795731233,1.4979717970898672,3.6668295371326445,8.116684510591464,15.950982353725527,23.083787683385403
3,10000,0.0142,7.940605467590131,4.343536641356438,1.5854602254196242,1.078051213709431,1.8812102956018215,4.343536641356438,9.504588044098618,18.342935977976285,27.198526379561702
4,10000,0.0148,8.519531786086663,4.574238174673063,1.6332362304415577,1.1149286589354932,1.9783278255739467,4.574238174673063,10.1280714294354,19.738370532705247,28.626358987321066
5,10000,0.0123,8.926960577451203,4.679094331769932,1.667632007266608,1.1177379521061352,2.0759299856166527,4.679094331769932,10.22925910561146,20.743944957386887,31.18232351663577
6,10000,0.015,8.6500424467787,4.608946473692679,1.634764484913505,1.1429449757133323,1.9275541808345174,4.608946473692679,10.085774711753997,20.197831962833945,29.228774392576295
7,10000,0.016,8.172320922804621,4.389127598449695,1.5836330738527307,1.1311928043700863,1.8638228691669685,4.389127598449695,9.515319735304454,18.87085986768865,28.3597423601808
8,10000,0.0228,7.903856860678934,4.108803337026785,1.5310993838410525,1.1797815352631624,1.6787652147960452,4.108803337026785,9.384007234578373,18.56954212368578,27.86518184897935
9,10000,0.0208,7.647182061065041,4.006773751083669,1.5151028044849348,1.1414437648784828,1.6610206535516858,4.006773751083669,8.984263033249405,17.808724467186995,26.567324121004823
10,10000,0.0284,7.244810375703595,3.7465272561416403,1.452863547612947,1.1702109659087288,1.5184310937920706,3.7465272561416403,8.464151229528316,17.16677603037219,25.281120306162627
11,10000,0.0293,7.220083157735225,3.6526073758646374,1.4289406085628156,1.1862537272857123,1.4475759608926455,3.6526073758646374,8.242674415168066,16.678550288682068,24.594607057396715
12,10000,0.0274,6.954494465695595,3.493302548800172,1.4024228305244866,1.1584828350785108,1.4191546411224556,3.493302548800172,7.973941604324982,16.03725589127071,24.26533763883992
13,10000,0.032,6.733356425594145,3.429517222380227,1.3781129617979841,1.1712965166753546,1.367344337185476,3.429517222380227,7.791461561939077,15.731905972344034,23.87465543013305
14,10000,0.0365,6.353256054487502,3.1267521828967646,1.297598156102417,1.1769814564398453,1.193878110465364,3.1267521828967646,7.180260983169406,14.513614086991423,21.747446785975566
15,10000,0.0375,6.406661037733803,3.1608125295659697,1.3165935896724947,1.1874667248562827,1.203626753322955,3.1608125295659697,7.423841840823794,15.31120009934457,23.151762047802936
16,10000,0.0376,6.630178164826817,3.252951708542498,1.3319300392300888,1.2128183081709993,1.227057507543685,3.252951708542498,7.523528191379584,15.738520015599795,23.61542171847944
17,10000,0.0368,6.770487369186226,3.2588666981702854,1.3435945497128121,1.2227307573698851,1.2549263551779237,3.2588666981702854,7.601584875213009,16.02462699928168,24.162394077031273
18,10000,0.0517,6.326450071652379,2.929954124611004,1.2520721985298566,1.2812992441098796,1.0660346344651812,2.929954124611004,7.0451173277374455,14.997563272879155,23.237427764207435
19,10000,0.0438,6.448643622451596,3.032810571566739,1.281149337712372,1.2481908685105252,1.1122429853658429,3.032810571566739,7.244965144737021,15.313163711802202,23.258676960261734
20,10000,0.0449,6.264975321832511,2.969145304429244,1.268999699842023,1.2233584578405852,1.1219599163743175,2.969145304429244,7.049451095235932,14.991812917714046,23.06865988845576
