model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
Naïve-GRW-Y,simulated,B. years 1-4,40000,0.04010474369823136,72.29051692817549,0.33823804504629007,45.27503719650427,1028.6253703603354,-165.23943021846836,0.04010474369823136,828.0935394304984
Naïve-GRW-Y,simulated,C. years 5-7,30000,0.0,518.5729036526584,0.3771216782944703,366.31933331356777,30443.35216020666,-1058.4880081125282,0.0,2994.2518544299746
Naïve-GRW-Y,simulated,D. years 8-20,120000,0.0,9857.570444506202,0.4389984954735263,3393.5736675284156,530709.7186735877,-6791.074607652445,0.0,17174.371644403636
