year,n,mean_log_delta,sigma_log_delta,var_log_delta,sample_mean_log_delta,sample_sd_log_delta
0,2067,0.02898014056286163,1.2596834978636315,1.5868025147899538,0.02898014056286163,1.2596834978636315
1,2143,0.2687576349551875,1.1962934252535766,1.4311179593049348,0.2687576349551875,1.1962934252535766
2,2202,0.1733354950732509,1.0816185868256065,1.1698987673666221,0.1733354950732509,1.0816185868256065
3,2247,0.05154896690231855,1.0500413930686008,1.1025869271574478,0.05154896690231855,1.0500413930686008
4,2259,0.027380029331591848,1.0448175733226468,1.0916437615238244,0.027380029331591848,1.0448175733226468
5,2200,-0.06383115714581852,1.0576976160340896,1.1187242469641965,-0.06383115714581852,1.0576976160340896
6,2142,-0.05334961108795788,1.0149041516136628,1.0300304369626485,-0.05334961108795788,1.0149041516136628
7,2059,-0.08949455421939845,1.0436481534004074,1.0892014680960802,-0.08949455421939845,1.0436481534004074
8,1985,-0.02528094315856204,1.0317496808440558,1.064507403921811,-0.02528094315856204,1.0317496808440558
9,1895,-0.06049659590171866,1.0196923830508957,1.0397725560520146,-0.06049659590171866,1.0196923830508957
10,1814,-0.016302353414628133,1.0237564117498863,1.0480771905990027,-0.016302353414628133,1.0237564117498863
11,1710,-0.04240891008035527,1.0216642258575757,1.0437977903971594,-0.04240891008035527,1.0216642258575757
12,1599,-0.02966735584570475,0.9828456623109969,0.9659855959235422,-0.02966735584570475,0.9828456623109969
13,1493,-0.0943652503331065,0.9978708999788309,0.9957463330245621,-0.0943652503331065,0.9978708999788309
14,1367,0.006188366541041566,1.006153810051616,1.0123454894813835,0.006188366541041566,1.006153810051616
15,1271,-0.008169713824645429,1.0486684459332043,1.0997055094959618,-0.008169713824645429,1.0486684459332043
16,1174,0.010939517397835356,0.982231184867214,0.964778100525651,0.010939517397835356,0.982231184867214
17,1094,-0.08800082040433463,1.0063819360027983,1.0128046011127405,-0.08800082040433463,1.0063819360027983
18,1023,0.01651525467464193,0.9891723746984981,0.9784619868666659,0.01651525467464193,0.9891723746984981
19,957,-0.018984954874867267,0.9796182670541842,0.959651949146243,-0.018984954874867267,0.9796182670541842
