year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,10000,0.0,4.318664786285919,3.0190734347648633,1.2036033872235077,0.785622270262192,1.2737659733028033,3.0190734347648633,5.91870334478438,9.9581545934628,12.981017611491229
1,10000,0.1091,10.034590425617617,2.9983558537400756,1.3001515741941525,1.9613722326929133,0.7049414237796633,2.9983558537400756,9.2768349974607,23.93115758903851,40.89750618628411
2,10000,0.128,27.028489752950428,3.981060713721316,1.6182703154270008,3.010606325994157,0.6897743899084487,3.981060713721316,16.685056964119784,53.72405175852178,108.63125129897176
3,10000,0.1424,54.208422844107055,4.6958453348825335,1.8132376037363465,3.8109733547725075,0.6649418863923269,4.6958453348825335,23.354927738010318,92.67725618402802,197.7981565291303
4,10000,0.1621,92.8641110476956,4.907551971191788,1.896829539791953,4.452735004821122,0.5243408288672959,4.907551971191788,28.365385494710424,123.96137935404373,297.7728207475486
5,10000,0.1807,188.62788629064858,5.053756817733514,1.9612167681608175,5.028288445562977,0.4124087839329257,5.053756817733514,31.628665493568242,163.55781871741866,415.0956065286172
6,10000,0.2026,240.38979264630805,4.816028712238634,1.9774275365356222,5.5600444486309,0.30750047757190746,4.816028712238634,33.65634738607155,210.69010767830474,577.718238007141
7,10000,0.2215,357.75064858088933,4.508946035110643,1.986251335528655,6.057422612205214,0.14055751903501176,4.508946035110643,37.27029695652903,242.07324327511935,712.6773959800641
8,10000,0.2403,604.4633420272672,4.137253077108783,1.9945030491285827,6.58515431902496,0.046882205220793505,4.137253077108783,38.99948272355111,291.79186230836245,952.9040911826614
9,10000,0.252,819.9681542999459,4.175594703811159,2.0421945065211156,7.0387219749307315,0.0,4.175594703811159,42.24240911643371,355.2291278864866,1165.4483328347837
10,10000,0.268,1173.7109984895635,4.042922119252206,2.045782300213782,7.41555098626097,0.0,4.042922119252206,45.977589865279825,372.48583506987603,1335.3584096217935
11,10000,0.2768,1477.5810747966993,3.9015112535593865,2.0696003336770596,7.802113047939846,0.0,3.9015112535593865,48.832065589270556,436.80619507688425,1664.3578811748555
12,10000,0.286,4816.701856653954,3.616005670546612,2.094982283648253,8.202958598380532,0.0,3.616005670546612,52.9787976197657,518.1942342826393,1856.001246515349
13,10000,0.2918,5673.314729864613,3.6012935536529445,2.1133770574508866,8.607144904177774,0.0,3.6012935536529445,54.60994834217037,595.8362252138941,2261.2892344052525
14,10000,0.3083,7935.705483614931,3.1335168031129315,2.0848211269199326,8.957716597766964,0.0,3.1335168031129315,52.555578183911535,664.8811548179187,2576.593404668577
15,10000,0.313,14567.587705893204,3.0764123748974037,2.1349720569151533,9.359215263955647,0.0,3.0764123748974037,58.42771336077968,800.8680484239277,3179.643636961787
16,10000,0.3171,61292.06798091732,3.1912915763599194,2.183402196441071,9.888154856779153,0.0,3.1912915763599194,62.52080371029323,897.1723721787802,3818.257016334761
17,10000,0.3257,68238.23152006211,3.2453015862185035,2.2275739481128496,10.254403025548891,0.0,3.2453015862185035,70.50818578978708,1009.5817933011069,4755.220125393181
18,10000,0.3366,114323.47659641736,3.0346961420364518,2.2032565823404178,10.439954078486576,0.0,3.0346961420364518,69.74831003396976,981.7025176044939,4895.777433638686
19,10000,0.3369,63627.68844236066,3.0920398707337795,2.2527032657737056,10.90745322459628,0.0,3.0920398707337795,73.4831303127292,1242.1702908618613,6261.790378128914
20,10000,0.3403,84815.84952059251,2.9682584531674485,2.284162283943076,11.299344903107771,0.0,2.9682584531674485,78.95583941683486,1400.034763938879,6951.801985038975
