model,dist,mean_model,n_params,n,nll,aic,bic,pit_ks
gamma_stage_zr,gamma,stage_zr,6,3061,7006.503433255784,14025.006866511569,14061.165848145241,0.07123101430980189
gamma_year_linear,gamma,year_linear,3,3061,7025.111006302099,14056.222012604198,14074.301503421033,0.07319970390627406
gamma_stage,gamma,stage,5,3061,7024.082904541889,14058.165809083777,14088.298293778504,0.07466768391158962
gamma_global,gamma,global,2,3061,7112.858507915471,14229.717015830942,14241.770009708833,0.08352598884412993
exp_stage_zr,exponential,stage_zr,5,3061,7477.246383804164,14964.492767608328,14994.625252303054,0.20678566905704565
exp_year_linear,exponential,year_linear,2,3061,7485.507277586246,14975.014555172493,14987.067549050384,0.21017492283405864
exp_stage,exponential,stage,4,3061,7485.048550853597,14978.097101707193,15002.203089462975,0.21055794784741547
exp_global,exponential,global,1,3061,7525.667036694867,15053.334073389735,15059.36057032868,0.21828909430787813
