year,n_active_transitions,observed_dropout_rate,dropout_intercept,dropout_gamma_log1p_q,dropout_delta_log1p_active_run_excess,dropout_scholar_coef_per_tau,active_duration_effect_direction,scholar_effect_direction,pred_drop_q50_run1_u_low,pred_drop_q50_run1_u_mid,pred_drop_q50_run1_u_high,pred_drop_q25_run1,pred_drop_q50_run1,pred_drop_q75_run1,pred_drop_q95_run1,pred_drop_q50_run2,pred_drop_q50_run5,pred_drop_q50_run10
0,1633,0.16411512553582364,-0.9454179504754185,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.21387962090613843,0.14499739035578527,0.09560155324411225,0.17255419542746953,0.14499739035578527,0.12115343028362693,0.09511228713886045,0.08167769544856164,0.03651225948268448,0.019487725253834225
1,1710,0.10877192982456141,-0.960775792942611,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.2113087754053329,0.1431037915519182,0.09428190691099618,0.17037242895768126,0.1431037915519182,0.1195276906982248,0.09379869399700576,0.08053313397675967,0.0359758132461251,0.01919642373278621
2,1879,0.07503991484832358,-1.138482284167226,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.18320821282738975,0.12266271107320295,0.08016219842699498,0.1467031192503523,0.12266271107320295,0.10205317011338653,0.07974498016936613,0.06831713956222167,0.030295975397632454,0.016121403626037357
3,1989,0.0824534942182001,-0.8144337052964056,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.23672624744372053,0.16200233963164493,0.10754212229735274,0.1920649611895784,0.16200233963164493,0.13580618294009017,0.10699897696697228,0.09205620027297251,0.04141054061156081,0.022154606584025256
4,1997,0.0756134201301953,-0.7097200796865821,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.25616476021450124,0.17672565916378222,0.11801294211218889,0.20883957644985537,0.17672565916378222,0.14857080473827666,0.11742387157036804,0.10119019418201118,0.04577271078177448,0.024540292399360113
5,1942,0.07723995880535531,-0.5329414333147425,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.29127080176356385,0.2039296858182398,0.13769066665054175,0.23954862802584137,0.2039296858182398,0.17234814755889097,0.1370186323923804,0.1184395421573685,0.05414441007644127,0.029147260929310023
6,1880,0.07819148936170213,-0.439023492145309,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.3110313327449064,0.21960078507517788,0.14922575759625567,0.25707298243058857,0.21960078507517788,0.18615987205956397,0.14850711938711725,0.12860238649136296,0.059160569421986546,0.03192574943720539
7,1806,0.09523809523809523,-0.1795705404310891,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.36915369433406714,0.2672654047135059,0.185241171801668,0.30964385410746376,0.2672654047135059,0.22869314560575355,0.18438668114257467,0.1605798466354011,0.07536442965655303,0.04099512656953443
8,1710,0.08596491228070176,-0.29610805323373485,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.3424519016844015,0.24507041932762283,0.16829337077045126,0.28529985005416264,0.24507041932762283,0.20878864275843959,0.1675009858030423,0.14548543524655186,0.06763480969526556,0.03665080821668875
9,1636,0.09352078239608802,-0.1853233402500266,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.3678149980319916,0.26614031687061934,0.18437449140032716,0.3084154580942402,0.26614031687061934,0.22767997846073992,0.1835230980983013,0.15980591729103893,0.07496452592100943,0.040769554230629064
10,1538,0.0929778933680104,-0.16214905824241999,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.3732199623023321,0.27069093630957636,0.1878849723400075,0.3133802456360265,0.27069093630957636,0.23178068133942184,0.1870210855804194,0.162942065733119,0.07658745598665888,0.04168554740608737
11,1444,0.09695290858725762,-0.10005385079738725,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.3878562171876377,0.28312262833474144,0.197543813652559,0.32689371674699463,0.28312262833474144,0.24302084951919525,0.19664626967082588,0.17158956305173273,0.08109603231837326,0.044237936929816174
12,1340,0.0873134328358209,-0.22961311107977894,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.35757803002749344,0.25758015915525995,0.17780705145550355,0.2990496572930833,0.25758015915525995,0.21998603936050118,0.1769794043999647,0.1539484318459156,0.0719504896675369,0.039072294899661554
13,1252,0.10862619808306709,-0.010431122720666135,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.4093362958773183,0.301660755465747,0.21213663172412775,0.34691093888419466,0.301660755465747,0.25988511762262373,0.2111902345425499,0.1847064180580457,0.08803036717601807,0.04818588862623861
14,1110,0.0990990990990991,-0.10753587324946669,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.38608130473723284,0.2816065128361491,0.19636044500775132,0.3252495529789142,0.2816065128361491,0.2416470915938005,0.19546696800577526,0.17052863095634,0.08054022064669276,0.043922666523250824
15,1041,0.11047070124879924,-0.005478358450790602,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.4105343111848989,0.3027051362233782,0.21296559056964762,0.3480339048304004,0.3027051362233782,0.2608388885955179,0.21201649038307888,0.18545341958916947,0.0884287922790472,0.04841355123190473
16,955,0.10157068062827225,-0.10731536269014433,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.38613357202084364,0.28165112521540114,0.1963952445699853,0.3252979485940023,0.28165112521540114,0.2416875032882336,0.1955016477439792,0.17055982413610363,0.08055655173444816,0.04393192745723522
17,892,0.13452914798206278,0.28832540716395505,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.48301822426796454,0.3680374541797316,0.266327185643995,0.4172946980283019,0.3680374541797316,0.32129884968799394,0.26522041387526724,0.23397077514012968,0.1151514455336199,0.06389138294085187
18,804,0.10323383084577115,-0.02017766849121038,0.43149976442566396,-0.931084632357183,-0.47269217928790636,lower dropout,lower dropout,0.40698187427841315,0.29961151074775905,0.21051221634237874,0.34470603240100606,0.29961151074775905,0.2580148116694754,0.20957113842193328,0.18324319425188168,0.08725103991140316,0.047740836333007144
