year,n,frac_zero,mean_prod,median_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,50000,0.21536,4.346793532846611,3.4693151562381805,1.4353573288301165,0.6451198039270456,0.9222157746838813,3.4693151562381805,6.393889148268612,9.923133512939382,12.533577097699053
1,50000,0.20912,4.771189640982959,3.3521067996563936,1.4257230569180446,0.902112251285004,0.8811031996456943,3.3521067996563936,6.640377603853189,11.163667009793041,14.990061768886571
2,50000,0.15222,5.995819387281071,4.342925924943504,1.5814915698615437,0.918017720761767,1.7362580671730563,4.342925924943504,8.166903235558333,13.42360359792162,18.06796972174712
3,50000,0.11696,7.1695975575829705,5.052748366614738,1.7017758669539962,0.9240730977826258,2.2638063586368857,5.052748366614738,9.444884257590392,15.958690997667885,21.557700037446697
4,50000,0.1166,7.596864290425767,5.374421294498932,1.7683522860637015,0.8849074014057189,2.4351511854243615,5.374421294498932,10.01562868549572,16.735555006996872,22.759687968412074
5,50000,0.11234,7.911634809957428,5.611242714866993,1.8127933754784753,0.8492873353640662,2.628796003201895,5.611242714866993,10.319291218864926,17.42786828943892,23.669629650201255
6,50000,0.11766,7.523436421271294,5.279117196858076,1.761302662666458,0.860696266012564,2.409284157738554,5.279117196858076,9.835490739092078,16.655208632406197,22.80774777528577
7,50000,0.11682,7.183697275429563,4.980564707915994,1.7023318016363644,0.8894193882510064,2.258516670038749,4.980564707915994,9.367652001967233,15.9796802367797,21.81128995146293
8,50000,0.12956,6.915916984691739,4.621593195536434,1.6638985579443728,0.9147641151630344,2.0118674367483225,4.621593195536434,9.054711023545883,15.604337811110637,21.49743728386864
9,50000,0.12282,6.796001638786494,4.5823072992812905,1.637685189744291,0.9188293094982148,2.0338852964490983,4.5823072992812905,8.786483662509582,15.29427733742961,21.219878690386633
10,50000,0.13784,6.707016178590749,4.410432379387473,1.6303446614725152,0.9335297088992958,1.8636374849411066,4.410432379387473,8.72668819306614,15.204714559473977,20.999333650685045
11,50000,0.1356,6.659859578414422,4.352167389912573,1.6107957043060173,0.9591318793050341,1.7948497253147142,4.352167389912573,8.617733956285242,15.195978224062321,21.084767696177668
12,50000,0.13938,6.420574030508376,4.239620825570712,1.591327888324021,0.9299130124903797,1.7763866685070149,4.239620825570712,8.303669302218427,14.619615400634212,20.228168327797825
13,50000,0.13582,6.442104855047767,4.110344119030242,1.5630330250208386,0.975329932723093,1.6790239187496252,4.110344119030242,8.242650437950877,14.725747446016454,20.71857894020217
14,50000,0.14928,6.0863397996100135,3.8293152983517693,1.5159057745745668,0.9846961128925746,1.502192143265302,3.8293152983517693,7.831390311524215,14.021083754207828,19.897517454741653
15,50000,0.14346,6.181119882871478,3.8924787803117553,1.5160734360798573,1.0038519765040614,1.514232327671499,3.8924787803117553,7.85613473273198,14.186106751416569,20.06560468365644
16,50000,0.14404,6.220339447062546,3.930008806056578,1.5296758051532773,0.9960409836545373,1.5523170036708214,3.930008806056578,7.9585607127639815,14.169876831259089,20.226092587662357
17,50000,0.1419,6.371105594243512,4.047723895479704,1.5551308820513166,0.9911755817958594,1.6214671103293385,4.047723895479704,8.132161119089862,14.585368496280795,20.61186236609417
18,50000,0.17062,6.083820868442809,3.793314048215021,1.5424437705644964,0.9914973768787979,1.3540199474336212,3.793314048215021,7.8089515129768206,14.26789222694792,20.16817855394331
19,50000,0.1569,6.293121636641447,3.932888046179239,1.5541574277262702,1.0027612587269519,1.4891928816860158,3.932888046179239,8.080063043484948,14.582807466609074,20.464945111519384
20,50000,0.15052,6.309462526307485,3.9040760632388976,1.5332897233854261,1.0404011174070742,1.4686420894113184,3.9040760632388976,8.015897932472875,14.537489462754866,20.825135732500847
