active_duration_bin,n,dropout_rate,mean_q_t,median_q_t,source,se,lower,upper
1,4764,0.25146935348446686,4.8963927872550705,3.607450054863695,Empirical,0.006285812890208873,0.2391491602196575,0.26378954674927624
2,3429,0.14610673665791776,5.597746010201022,4.295879940054407,Empirical,0.006031886645701194,0.13428423883234342,0.1579292344834921
3,2840,0.09084507042253522,6.768667365937209,5.451813339128817,Empirical,0.0053927521653010435,0.08027527617854517,0.10141486466652526
4,2510,0.07808764940239044,7.8213763381698485,6.1309007630139,Empirical,0.005355488989440259,0.06759089098308753,0.08858440782169334
5,2211,0.06693803708729082,8.368717044341212,6.782928499820651,Empirical,0.005314927659726718,0.05652077887422645,0.07735529530035519
6,1957,0.054675523760858456,8.69512642268554,7.012981309862083,Empirical,0.0051391526107554715,0.04460278464377773,0.06474826287793918
7,1752,0.050799086757990865,8.72550130250266,7.21490010972739,Empirical,0.005246141196707397,0.040516650012444366,0.06108152350353736
8,1555,0.04244372990353698,8.777407861314915,7.235878353054118,Empirical,0.00511238705614519,0.03242345127349241,0.05246400853358155
9,1391,0.03163191948238677,8.756332399440584,7.162506692905852,Empirical,0.004692663802936994,0.02243429842863026,0.04082954053614328
10,6913,0.031245479531317805,9.40118443648664,7.510338103682923,Empirical,0.002092508301968063,0.027144163259460403,0.03534679580317521
1,118198,0.2766459669368348,4.452933567219356,3.3052518084024385,Simulated,0.0013011655648785282,0.27409568242967286,0.27919625144399673
2,82878,0.1480610053331403,5.781328494582171,4.128033805307133,Simulated,0.0012336869319009563,0.1456429789466144,0.15047903171966617
3,68989,0.09576889069271913,7.098722416784886,5.124647597147731,Simulated,0.0011203714305285128,0.09357296268888324,0.09796481869655502
4,61071,0.07879353539323083,8.198484982481855,5.853453693487165,Simulated,0.001090200222850705,0.07665674295644345,0.08093032783001822
5,54989,0.06663150811980578,8.700650832203495,6.205529178736956,Simulated,0.0010634779228695628,0.06454709139098144,0.06871592484863012
6,50220,0.06075268817204301,9.01536173404981,6.407814140521001,Simulated,0.0010659439667548764,0.05866343799720345,0.06284193834688256
7,46199,0.05500119050195892,8.818162217921566,6.264813266590972,Simulated,0.0010606824621696945,0.052922252876106315,0.05708012812781152
8,42784,0.053290949887808525,8.59383444550457,6.069090386319882,Simulated,0.00108591117471563,0.051162563985365894,0.055419335790251156
9,39613,0.0454396284048166,8.501751531463055,5.96784515775094,Simulated,0.0010464059946542583,0.04338867265529425,0.04749058415433895
10,291844,0.03506667945888899,8.377356125435037,5.650624577660055,Simulated,0.0003405027227118815,0.034399294122373705,0.03573406479540428
