model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
hurdle_ar1_pg_zr_pad_se,simulated,B. years 1-4,200000,0.39568652865539267,4.351256432503272,0.05689829996003681,0.7851112922436172,7.231204101691877,-19.282351227752592,0.39568652865539267,22.936527051972224
hurdle_ar1_pg_zr_pad_se,simulated,C. years 5-7,150000,0.0,4.592516330535853,0.053013517590160264,-0.33190594175523,7.77829503335388,-23.75237641090936,0.0,21.867240996057703
hurdle_ar1_pg_zr_pad_se,simulated,D. years 8-20,600000,0.0,4.049751519477419,0.049650813380901715,-0.050537871532021175,7.3682607178815545,-21.450443769753168,0.0,21.218343085181914
