model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
AR(1)-GRW-Y,simulated,B. years 1-4,200000,0.3626529419680251,6.848328651429542,0.0807399560379321,0.9268569394677064,13.95740328541261,-36.725969962598164,0.3626529419680251,43.73053281149036
AR(1)-GRW-Y,simulated,C. years 5-7,150000,-0.17723782262023446,6.980424510715536,0.07559922630684646,-0.45926516382860505,14.352090327569341,-43.001378654407304,-0.17723782262023446,40.032211533251434
AR(1)-GRW-Y,simulated,D. years 8-20,600000,-0.024409383547279118,5.638941373261409,0.08214075679359578,-0.1132657092996097,12.418652792422504,-35.312394281550404,-0.024409383547279118,34.80045665452602
