year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
0,50000,-0.009346912172277634,-0.03429417263654211,-0.16848747779016393,1.3780997702596613,-0.8192061849446342,-0.03429417263654211,0.7825363817403601,1.529330085971643,1.9650539596205023
1,50000,0.24097156983175705,0.2384675796055387,-0.02717025496157266,1.3371703930058563,-0.5428549456172085,0.2384675796055387,1.030246180824258,1.7277199476341214,2.1360904825157077
2,50000,0.17119483011070435,0.16758417888907284,-0.03732214277019086,1.1287112588763026,-0.5433157954494907,0.16758417888907284,0.8918834643888987,1.5350832966534314,1.9143127126355373
3,50000,0.05455492244815648,0.05167382641618401,-0.033122869836432756,1.0746034873066468,-0.6455815559133935,0.05167382641618401,0.7567017949051671,1.3888598574770832,1.768652575581001
4,50000,0.03276857894525159,0.036744880322896245,-0.03638333885789535,1.0841632609315481,-0.6700211543658322,0.036744880322896245,0.7342895478504665,1.3651086700712676,1.7412696240463088
5,50000,-0.06001269061584424,-0.05724883199474262,-0.026452098886214248,1.072674246615596,-0.7591396426582885,-0.05724883199474262,0.6394045856681195,1.2657083891415744,1.646315446230622
6,50000,-0.04630450163554975,-0.04510935753966866,0.0024284170762034485,0.9955472516832788,-0.7190263121689235,-0.04510935753966866,0.6263705759704725,1.2373550572579173,1.6006717222864542
7,50000,-0.06873813830325612,-0.06812406419101763,-0.01468131216040014,1.0519497717927535,-0.7624132784962231,-0.06812406419101763,0.6233660992419382,1.2424955892940452,1.6211940671147558
8,50000,-0.017687332173250764,-0.013460820755934022,0.028228270857089566,1.0240228258462267,-0.7053204591527773,-0.013460820755934022,0.6663947424664887,1.2906743729220842,1.6452900560105181
9,50000,-0.05532733197145075,-0.05355848929050257,-0.017926531887399122,0.9743386219006996,-0.710377671143485,-0.05355848929050257,0.6118008513715121,1.21237571786561,1.5718242789594274
10,50000,-0.010658065773487208,-0.004078264725344838,-0.02513440272694556,0.9959112841701736,-0.6876750236501379,-0.004078264725344838,0.6592818123445958,1.2656468164202819,1.6399764065070035
11,50000,-0.02883864584714227,-0.013838745404471026,-0.003913453641586351,0.9978801503974698,-0.6965294994635347,-0.013838745404471026,0.6421545991626716,1.256467146329261,1.6130349254411989
12,50000,-0.025544230718041874,-0.014091899096567578,0.023652363137378174,0.9197248403802528,-0.6677734354814231,-0.014091899096567578,0.6269081471629322,1.207648072731764,1.5472881116488382
13,50000,-0.07160692180551517,-0.06443766573557444,-0.010599039889410022,0.9298941490044008,-0.7141999257849373,-0.06443766573557444,0.5784150097983993,1.1654789581454164,1.5270606495228087
14,50000,0.011007855695411335,0.0,-0.029585551427595558,0.9354636352511493,-0.6412980657498585,0.0,0.6549222768930741,1.263812002046898,1.6089551993845765
15,50000,0.009002217352087828,0.0,0.006340828665749143,1.0249208920624988,-0.6772612358739204,0.0,0.689308415927775,1.3156260682860086,1.6855713440043787
16,50000,0.016954723404777265,0.0005575347452110302,-0.019870335505584924,0.907622844444081,-0.6238758668304296,0.0005575347452110302,0.657476018795352,1.2510412144098477,1.5976378454977234
17,50000,-0.07322226872254922,-0.0651696898275157,0.029710228631139923,0.9331109480703309,-0.7228174993869951,-0.0651696898275157,0.5757185742527573,1.167944166378068,1.5248587618918825
18,50000,0.014937875318981142,0.0,0.02432379963547482,0.8990443072108067,-0.6132285683464997,0.0,0.6443232837979329,1.23382964478361,1.5878949228210688
19,50000,-0.013393350653247349,0.0,-0.014720346438159115,0.880933200602055,-0.642090556422425,0.0,0.6058389802673576,1.1952896973137823,1.545611657830695
