prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",19446,0.2214851383317906,1.6696314116695863,1.6870106939899845,Simulated,1.6696314116695863,0.0029777662838163673,0.2156487164155105,0.22732156024807068
"(2.181, 3.229]",21324,0.15906959294691428,2.7050698443341434,2.7039003757240714,Simulated,2.7050698443341434,0.0025046051895714566,0.15416056677535422,0.16397861911847433
"(3.229, 4.419]",22453,0.12056295372556006,3.8112220858920116,3.8050999590891346,Simulated,3.8112220858920116,0.002173062061336822,0.11630375208533988,0.12482215536578023
"(4.419, 5.829]",21357,0.09645549468558318,5.09616620464699,5.083777601920217,Simulated,5.09616620464699,0.002020077991687683,0.09249614182187532,0.10041484754929103
"(5.829, 7.622]",19871,0.07583916259876201,6.670182947458561,6.64101674406044,Simulated,6.670182947458561,0.0018780652768183453,0.07215815465619806,0.07952017054132597
"(7.622, 10.037]",17850,0.055518207282913165,8.735244756397746,8.689819762578704,Simulated,8.735244756397746,0.0017139391610519247,0.05215888652725139,0.05887752803857494
"(10.037, 14.001]",16018,0.045573729554251464,11.775101589514282,11.664662968409807,Simulated,11.775101589514282,0.0016478752580440154,0.042343894048485195,0.048803565060017734
"(14.001, 80.687]",18186,0.02424942263279446,21.85162147775439,18.859307073295447,Simulated,21.85162147775439,0.0011406476667575555,0.02201375320594965,0.026485092059639267
