year,n,intercept,beta,scholar_coef_per_tau,sigma_resid,var_resid,implied_stationary_mean_log_u0,implied_stationary_var_log_u0,mean_resid,sd_resid
0,1365,1.2270620555274774,0.13646796457389643,0.5195259425541734,0.5949282800815214,0.3539396584407572,1.4209803518429893,0.360656343790636,8.113981607077334e-16,0.5949282800815214
1,1524,1.4839651466253394,0.09804333909793955,0.5195259425541734,0.5372820018565125,0.28867194951894154,1.6452732275863495,0.29147373977617563,1.002406090475207e-15,0.5372820018565125
2,1738,1.538420866232482,0.12779286468479542,0.5195259425541734,0.5328268704049831,0.28390447382556866,1.7638251327495922,0.2886178974022259,-2.9220967801181336e-15,0.5328268704049831
3,1825,1.608117912538974,0.1164803713406049,0.5195259425541734,0.5245655642226325,0.27516903116820873,1.82012697893203,0.2789537860089425,1.8882916539378004e-16,0.5245655642226325
4,1846,1.63206824134834,0.11793132286127161,0.5195259425541734,0.5201449378747384,0.27055075639671544,1.8502734352187575,0.2743665912268844,5.884302314698013e-15,0.5201449378747384
5,1792,1.5673401414629293,0.11352601382834007,0.5195259425541734,0.5243742883240383,0.27496839425534164,1.768061066553874,0.2785584996020146,-2.0779509065807897e-15,0.5243742883240383
6,1733,1.4506122036500242,0.14577811943050567,0.5195259425541734,0.5264765202752411,0.2771775264011263,1.6981679311268956,0.2831957938773698,5.863105090230486e-16,0.5264765202752411
7,1634,1.3856498303382134,0.15026044229416832,0.5195259425541734,0.5377998038593396,0.2892286290311441,1.630675914487562,0.2959097384410244,-5.479093311246795e-16,0.5377998038593397
8,1563,1.375198174631078,0.14428896360519336,0.5195259425541734,0.5466794381794183,0.29885840812816444,1.6070824333701723,0.30521272494423296,-6.245093302945858e-16,0.5466794381794183
9,1483,1.28328629104914,0.182835391763569,0.5195259425541734,0.5395658796857133,0.2911313385210177,1.5704134492788087,0.30120009021787003,-4.457062575460777e-15,0.5395658796857133
10,1395,1.2494797053619697,0.19221182595946434,0.5195259425541734,0.5550380502601393,0.3080672372365769,1.5467912820660699,0.3198855316931666,6.443272836820981e-16,0.5550380502601393
11,1304,1.2298598970112669,0.18499381493090802,0.5195259425541734,0.5294454860816997,0.2803125227322873,1.5090190964710357,0.2902455111424823,1.2723292085888297e-15,0.5294454860816997
12,1223,1.1827420403907642,0.19145162683010336,0.5195259425541734,0.5672946551560549,0.32182322576862726,1.4627968834490996,0.3340680648892984,2.871510606291329e-15,0.5672946551560548
13,1116,1.0595128278469133,0.23201732393713,0.5195259425541734,0.5499343598697022,0.30242780016529913,1.3796051146343535,0.3196343699061967,2.2697892947892088e-15,0.5499343598697021
14,1000,1.0711454185102076,0.23606118998594444,0.5195259425541734,0.5721057597993748,0.32730500039562,1.402135098347078,0.3466203814344528,2.4638069362481474e-15,0.5721057597993748
15,926,1.148896031388647,0.1966316602888317,0.5195259425541734,0.5755880124810528,0.33130156011188866,1.4300987163642829,0.3446261905294871,3.634002146478239e-15,0.5755880124810528
16,858,1.0786494251740335,0.2536077685750797,0.5195259425541734,0.5617243554391236,0.31553425149349884,1.4451509270331078,0.33722341633451697,3.1174234393087727e-15,0.5617243554391237
17,772,1.0098069914613836,0.26411011998491396,0.5195259425541734,0.5528253445355753,0.30561586156087756,1.3722256806149884,0.3285323587960368,1.1113735148061153e-15,0.5528253445355753
18,721,1.0484456014541006,0.2467878457334077,0.5195259425541734,0.5933257522450394,0.35203544827714184,1.3919658565188437,0.3748664018860929,-4.0676354255892e-15,0.5933257522450394
19,681,0.9119084563035429,0.30436025800271094,0.5195259425541734,0.5926080569620574,0.3511843091763451,1.3108918327255326,0.3870376019316736,1.1542406775838633e-15,0.5926080569620574
