model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
Hurdle-AR(1)-GRW-Y,simulated,B. years 1-4,200000,0.5122810801335538,4.135512501476977,0.05996714080459953,0.7346475606264448,6.6711586336398065,-18.88712749850195,0.5122810801335538,20.524487186332664
Hurdle-AR(1)-GRW-Y,simulated,C. years 5-7,150000,0.0,4.387889183402193,0.044384914212018955,-0.3376924391416749,7.24103836028621,-22.496959482983673,0.0,19.911886397994866
Hurdle-AR(1)-GRW-Y,simulated,D. years 8-20,600000,0.0,3.740772615964484,0.052857731180270096,-0.08703771363879478,6.450721078140248,-19.97235385848588,0.0,18.468529036793154
