year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid
0,1365,0.8193652131648896,0.48704951246497014,0.6596909544184156,0.43519215534148015,1.5973573143527509,0.5705322289435651,-2.9313141250908894e-16,0.6596909544184156
1,1524,1.0127461217453269,0.4809303465628814,0.6329683534697821,0.400648936494247,1.951079426507089,0.5211991783329271,-7.960969299936818e-16,0.6329683534697821
2,1738,0.8835617009019098,0.5650760464273166,0.6352082611416235,0.403489535022565,2.031531474971408,0.5927662977025215,-4.4971059225322796e-17,0.6352082611416235
3,1825,0.8640842896433755,0.5645718533468408,0.6268817933071779,0.39298078278002324,1.9844474829773988,0.5768452241979468,9.616660588095602e-16,0.6268817933071779
4,1846,0.8618944720996528,0.5659282373237429,0.6113801764978132,0.3737857202144972,1.9856036402498676,0.5499070854037785,-5.032690287141555e-16,0.6113801764978132
5,1792,0.7629040172821369,0.5719679695872438,0.6353875696859941,0.403717363711474,1.7823526350270091,0.6000085882871937,7.335402126987641e-17,0.6353875696859941
6,1733,0.6888048703909142,0.5999142181710758,0.6284447900618539,0.3949428541558877,1.7216429617722473,0.616998978023677,-5.289094801676452e-16,0.6284447900618539
7,1634,0.6727508354635684,0.5993435193749791,0.6510358402940295,0.4238476653473531,1.6791213121377258,0.6614482450949426,-8.283867268194558e-16,0.6510358402940295
8,1563,0.695445386813011,0.5910990306878825,0.6414487893623456,0.41145654937441883,1.7007672737556458,0.6324244160028296,2.3127870557770377e-16,0.6414487893623456
9,1483,0.641599029671547,0.6181176446746759,0.6522049477877538,0.4253712939188267,1.6800960314727589,0.6883803933908855,4.0126739123336743e-17,0.6522049477877538
10,1395,0.6293072536321983,0.6250795610474256,0.6591371356517166,0.4344617635951495,1.678508793466452,0.7130792775822611,2.1392684517508394e-16,0.6591371356517166
11,1304,0.6402509243913739,0.6072054436066394,0.6359266549068879,0.4044027104210641,1.6299893009469315,0.6405856454790007,-4.699717098106491e-16,0.6359266549068879
12,1223,0.5846637472278604,0.6298115663818067,0.6677816348491415,0.4459323118417922,1.579367949218191,0.7391093583845291,-7.995784465166295e-16,0.6677816348491415
13,1116,0.4877160759927816,0.6620889872977656,0.6494545205256229,0.42179117423116674,1.4433269637842632,0.7510016138219356,2.5825618028018873e-16,0.6494545205256229
14,1000,0.5424691816466345,0.6601823809315447,0.6501761701046042,0.42272905217189116,1.5963539004649303,0.7493080574734334,-4.742872761198669e-16,0.6501761701046042
15,926,0.6177196172316164,0.6199736846529192,0.6676754243898482,0.44579047233416386,1.625465375121322,0.7241176805223873,1.9422908206185245e-16,0.6676754243898482
16,858,0.577521204637784,0.6585343942956384,0.6352506638791366,0.4035434059588838,1.691301246714135,0.712555681506338,1.3146696888335188e-16,0.6352506638791366
17,772,0.49550625001689974,0.6753614155420712,0.628286015736489,0.3947433175700317,1.5263319695786635,0.7257819138253526,-8.789744982524555e-16,0.628286015736489
18,721,0.5951709526806397,0.6414884580822726,0.6564226568867007,0.43089070447419514,1.6601165739239208,0.7321939734136712,2.9318510941557534e-16,0.6564226568867007
19,681,0.5003217071167753,0.6784335844565532,0.6486269636919182,0.420716938028197,1.5558891816212594,0.7794982624733139,-1.4346494297652536e-15,0.6486269636919183
