year,intercept,gamma_raw_scaled,p_drop_at_zero,p_drop_at_median_q,emp_drop_rate
0,-0.7894422201047081,1.0778316383915534,0.31228844812266365,0.1338574750629728,0.16411512553582364
1,-1.2426586093815613,1.0778316383915534,0.22397355534402358,0.08944012522907169,0.10877192982456141
2,-1.5006124994744758,1.0778316383915534,0.18233418945152763,0.07053866969435339,0.07503991484832358
3,-1.2941200660218026,1.0778316383915534,0.21515626334018959,0.08533667711769323,0.0824534942182001
4,-1.3160478371974338,1.0778316383915534,0.21147658187362486,0.08364060935646596,0.0756134201301953
5,-1.241414750984564,1.0778316383915534,0.2241898238532651,0.08954147753520007,0.07723995880535531
6,-1.2809421460554233,1.0778316383915534,0.2173898921518906,0.08637090729443465,0.07819148936170213
7,-1.1009171149552983,1.0778316383915534,0.2495680941293516,0.10167515646565052,0.09523809523809523
8,-1.272848811499639,1.0778316383915534,0.21876997258497158,0.08701170185529766,0.08596491228070176
9,-1.195406531298222,1.0778316383915534,0.23229337677584583,0.09336374985682479,0.09352078239608802
10,-1.2241840948741882,1.0778316383915534,0.22720096589900912,0.09095615639330719,0.0929778933680104
11,-1.169750495079943,1.0778316383915534,0.23690008642128377,0.0955582292472464,0.09695290858725762
12,-1.311019940425206,1.0778316383915534,0.21231622123197758,0.08402677938919331,0.0873134328358209
13,-1.0757649621344436,1.0778316383915534,0.2543082945689658,0.103995612355466,0.10862619808306709
14,-1.2192771800303688,1.0778316383915534,0.22806367847574852,0.09136269064770576,0.0990990990990991
15,-1.083536300462954,1.0778316383915534,0.25283738815484597,0.1032737002764936,0.11047070124879924
16,-1.1681409290998426,1.0778316383915534,0.2371911844513387,0.09569742955729434,0.10157068062827225
17,-0.8106718334079801,1.0778316383915534,0.3077473505518815,0.13141519680874425,0.13452914798206278
18,-1.139456199356439,1.0778316383915534,0.24242021743905312,0.0982087420394235,0.10323383084577115
19,-1.1001815177102194,1.0778316383915534,0.24970588499840932,0.10174236363501454,0.10863874345549739
