stage,n,mu_delta,phi_memory,alpha_laplace,nll,mean_delta,median_delta,mean_memory_gap
0-4,8298,-0.15173765122064262,0.6932993962974636,4.420384932535889,23345.145861391,0.764380045041405,-0.05383045347218163,-0.6242647526159945
5-7,5159,-1.557582203224752,0.7153976661237288,4.578538020949096,14683.765008054546,-0.483646063541846,-0.2749545490977976,-0.3153752449333679
8-13,8084,-1.8728321098732321,0.7883978464358642,4.242503544731332,22198.250643752122,-0.33638253932622825,-0.17761709535828363,0.03838255306127061
14-20,4958,-1.6362876333707426,0.7199826944802221,4.1680377524372405,13525.829689995611,-0.2529965302278645,-0.13772026340637566,-0.04965061722844529
