transition,source,n,mu,alpha,ks_D,ks_p
0->0,emp,2318,0.0,0.0,,
0->0,sim,64844,0.0,0.0,,
0->1,emp,3061,3.2254690051933212,2.303227791310413,0.1951845774555409,1.2174430884853198e-102
0->1,sim,82706,2.949049974686318,2.022118919309101,0.11630691282943674,0.0
1->0,emp,2823,-3.3456189356921056,2.25818522647562,0.1841784527165331,2.743304544312163e-84
1->0,sim,80656,-2.936373539588874,2.5389816679251505,0.1572948747977463,0.0
1->1,emp,26499,-0.13158542820842456,3.7403489310840157,0.06428570146466517,1.1898310652106675e-95
1->1,sim,771794,-0.17217171219522054,4.074657123024208,0.01881306882333872,1.0262836170058527e-237
