CareerAge,emp_mean,sim_mean,emp_zero_frac,sim_zero_frac
0,4.3046789420568725,4.353877775309151,0.17896907216494845,0.2082
1,4.619203503531044,5.61838450621907,0.17855670103092783,0.21996
2,5.890874640023585,6.707482249251132,0.13319587628865978,0.14928
3,7.039266468767511,7.591182718004024,0.10639175257731959,0.11924
4,7.484362476720373,8.20502087740869,0.10845360824742269,0.1201
5,7.7293193247281256,8.743056955472735,0.10680412371134021,0.11676
6,7.404819046936149,8.41894984488452,0.1088659793814433,0.12166
7,7.071913207324961,8.414491742527874,0.10474226804123711,0.12024
8,6.734257737938087,8.400828829306628,0.1134020618556701,0.13052
9,6.546520957970945,8.159153644014152,0.10680412371134021,0.11978
10,6.428625690650365,7.896295668890201,0.11463917525773196,0.1368
11,6.364626498826174,7.800787089144103,0.11051546391752577,0.13464
12,6.141685701181883,7.7263635248685,0.10762886597938144,0.13786
13,6.091512897369658,7.646718063705757,0.1002061855670103,0.13938
14,5.809829616526079,7.461604679231011,0.10597938144329896,0.15894
15,5.842097404055951,7.53181848081633,0.09525773195876289,0.14936
16,5.929018305152409,7.489747840931824,0.09072164948453608,0.15318
17,6.000177970227081,7.486414056770066,0.08453608247422681,0.15682
18,5.775772777813434,7.303074186710112,0.09237113402061856,0.1852
19,5.903256231546411,7.318869206038178,0.08,0.17308
20,5.797863158935677,7.302155740227289,0.07175257731958763,0.1672
