source,gini,top10_share,top5_share,top1_share,n
emp,0.3695695463943687,0.26509331693421606,0.16017570060275074,0.04153376116262829,690
sim,0.3591894624541785,0.2728341846704106,0.16497567700854918,0.046087569021019556,50000
