CareerAge,emp_q0.1,sim_q0.1,emp_q0.25,sim_q0.25,emp_q0.5,sim_q0.5,emp_q0.75,sim_q0.75,emp_q0.9,sim_q0.9
0,0.0,0.0,1.4510313998257118,0.29953383572800096,3.2254690051933212,2.515043396913981,6.0082704829463385,6.3391664349559065,9.65355164637372,11.339048202515121
1,0.0,0.0,1.4025962619724166,0.44249645882149446,3.3456189356921056,3.538995647030795,6.223592296835065,8.429144826072395,10.22004238204524,14.375841589817012
2,0.0,0.0,2.117645581083474,1.4074756461312146,4.667694222626299,4.631608337184012,8.323570501236992,9.85450430715344,12.621855613858008,16.22995009469332
3,0.0,0.0,2.625676271289992,1.9586954870896065,5.549047000824661,5.563332713442082,9.758991774776097,11.107547612510409,14.922442699605432,17.703025187737637
4,0.0,0.0,2.7745235004123305,2.160415423054393,5.968755577421544,6.143563769565786,10.41920181656517,12.05145393760989,15.558980742087662,18.948318016962926
5,0.0,0.0,2.9020627996514237,2.418131216452374,6.352936743250421,6.655600369765272,10.891286519461364,12.840335563909056,16.263842506201264,19.934053322053757
6,0.0,0.0,2.7131713999282603,2.0721522667393137,5.706962338371138,6.170113942230633,10.169643289973786,12.39370729948135,16.092192202696477,19.76347039895018
7,0.0,0.0,2.4631029151383848,2.0831446519957493,5.549047000824661,6.129966232306785,9.755142478388136,12.29599656586712,14.872980883594874,19.80491814278836
8,0.0,0.0,2.209297097449406,1.9596617088043908,5.084821644986893,6.093988836970728,9.261512725835708,12.387368494564761,14.922442699605432,19.918749686621247
9,0.0,0.0,2.209297097449406,1.9471013773080472,4.775004461937235,5.819234776097255,9.189866949514972,11.9097512125707,14.314712422743336,19.249307301435127
10,0.0,0.0,2.0317148221611325,1.6966994477677726,4.6144047052993615,5.526918145842975,9.012405724419509,11.502903255667622,14.602367323412304,18.985951931740605
11,0.0,0.0,1.8394423842317504,1.6643244742893963,4.6144047052993615,5.401432905248188,9.084971073854494,11.40433700290405,14.814538752233512,18.915609278158367
12,0.0,0.0,1.8037250274318477,1.613167209791726,4.361450671303054,5.359663438939139,8.620860202984346,11.259039502364569,13.5658569996413,18.783219249709095
13,0.0,0.0,1.6728094678460528,1.5890677392835844,4.353094199477136,5.252476304623648,8.103823635106245,11.156355003261538,14.055713032126322,18.617728050487944
14,0.0,0.0,1.5020676207365846,1.3412776480032258,3.7503194820633063,5.0297069212821635,7.934427459986176,10.867534673694525,13.815903767917975,18.376668426106182
15,0.0,0.0,1.4025962619724166,1.4913760389478157,3.7503194820633063,5.096284717312987,8.103823635106245,10.920011215180091,13.887348464702525,18.47665186250018
16,0.0,0.0,1.5020676207365846,1.4245819207783592,3.938514406934989,5.03383828599242,8.103823635106245,10.879704836525796,13.60237670549272,18.38464452406944
17,0.0,0.0,1.5020676207365846,1.388323321912389,4.20778878591725,5.035965247739096,8.706188398954271,10.924363634434517,14.003082667878896,18.37003624086534
18,0.0,0.0,1.2315514575691924,0.9906906743026699,4.063429644322265,4.794524127921778,8.13951419978478,10.750114182617097,13.5658569996413,18.22434786231758
19,0.0,0.0,1.35658569996413,1.1732772768594608,3.6510522137856363,4.794123040530929,7.891378475399026,10.689824099670856,14.461947843943609,18.155285415395777
20,0.0,0.0,1.312838135644996,1.2223071132200376,3.694654372707577,4.830860864874822,7.779490371043831,10.575462409505615,14.512032608302249,18.135622774409743
