stage,n,mean_log_productivity,var_log_productivity,sd_log_productivity
0-4,10961,1.3893318753085704,1.2077420452459349,1.0989731776735658
5-7,6647,1.6352678885715934,1.1625620303419482,1.0782216981409474
8-13,11114,1.4464246274656147,1.2379561824750869,1.1126347929464937
14-20,8404,1.296129169969735,1.3589013087207185,1.1657192237930705
