stage,n,mean_log_delta,sigma_log_delta,var_log_delta,sample_mean_log_delta,sample_sd_log_delta
0-4,10918,0.10947209537399487,1.1310035373243517,1.2791690014401962,0.10947209537399487,1.1310035373243517
5-7,6401,-0.06857876891250554,1.03912160283396,1.0797737054762182,-0.06857876891250554,1.03912160283396
8-13,10496,-0.043372794157741555,1.014730561238621,1.029678111911647,-0.043372794157741555,1.014730561238621
14-20,6886,-0.012580251174832,1.0046289300325129,1.0092792870582716,-0.012580251174832,1.0046289300325129
