GRW,ARW,ARW4,CS_empirical,Shockley
1.0,1.0,1.0,1.0,1.0
0.667096594582966,0.35743308394633083,0.42560856501208566,0.4259554467065403,0.20571504462515044
0.5307682677516827,0.17135155790151557,0.20849640428096405,0.4117834486631907,0.2165712481017125
0.45128461588884616,0.0923007493790075,0.11992350207523501,0.3446605070072625,0.19435097307550972
0.3981682422336824,0.044554075441540754,0.07251125603311256,0.36953636409173124,0.18308763748287638
0.3665378819813788,0.021735478129354783,0.0468274498202745,0.34359259602038095,0.2025082616130826
0.3419367410033674,0.004366134667661347,0.028354392523543926,0.3302159602293854,0.2063797899597979
0.31645538639655385,-0.002334073199340732,0.02396857887568579,0.31388548876516015,0.2008304610163046
0.29520021392400214,-0.0027334405473344054,0.004358314483583145,0.297423762750571,0.202930200325302
0.27500297533402973,0.01597356769573568,0.0036162679801626796,0.2999907895351656,0.1820428207524282
0.266385802199858,-0.0022090838620908385,-0.005457508230575082,0.297759629608054,0.19578809224988092
0.2584725908567259,0.0025180221611802215,0.004361334199613342,0.3310185257846767,0.19773179177731792
0.25213722294137225,0.00252650601726506,-0.0006437300104373001,0.322190974172369,0.1942822186788222
0.24737256609772565,0.003253646504536465,-0.015567430535674305,0.30121644286639593,0.19389753466297535
0.24227614192676142,0.014203599166035991,-0.01150427904704279,0.30041669177035923,0.19720506439605065
0.2399172896751729,0.007057413622574137,-0.0069644975136449756,0.30029027606405917,0.20737509635775098
0.2362654800826548,0.013862900442629004,-0.005360482241604823,0.274587131687735,0.19824223542242236
0.22694134093341342,0.012702396583023965,-0.011506171723061717,0.2327073669465583,0.20499344474193446
0.2208024295560243,-0.009901597827015978,-0.005982105755821057,0.24362848385772767,0.19517359248773591
0.21639138343591383,-0.01930433607704336,-0.018242767754427677,0.20872530910054743,0.1978757294627573
0.20812387603723875,-0.008317006859170068,-0.009628394592283946,0.20157088641859772,0.19488289272482892
