model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
Hurdle-AR(1)-GRW-PG-ZD-RM,simulated,B. years 1-4,200000,0.29726634681645625,4.398047774155987,0.04653033289983416,0.7532813516929946,6.904209069830396,-18.253198142978672,0.29726634681645625,21.35160192147647
Hurdle-AR(1)-GRW-PG-ZD-RM,simulated,C. years 5-7,150000,-0.09322500526632505,4.565207201557469,0.046240306830871436,-0.36736646956262875,7.273342997007605,-21.865299611287586,-0.09322500526632505,20.232755723948415
Hurdle-AR(1)-GRW-PG-ZD-RM,simulated,D. years 8-20,600000,0.0,3.7632889366574105,0.047131997541278725,-0.10876489448604441,6.402643676301102,-19.004265206785067,0.0,18.424615263765066
