stage,restart_log_mean_run1,restart_mean_run1,restart_rho_log1p_zero_run_excess,restart_gamma_shape,restart_nll
0-4,1.6370432575982197,5.139949515842015,0.139692237963676,2.2645130000775002,7006.503433255784
5-7,1.6235418251013942,5.0710192104474325,0.139692237963676,2.2645130000775002,7006.503433255784
8-13,1.4032680143177574,4.068474096606869,0.139692237963676,2.2645130000775002,7006.503433255784
14-20,1.256593334777875,3.5134319902876134,0.139692237963676,2.2645130000775002,7006.503433255784
