year,n,frac_zero,mean_prod,median_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
0,50000,0.20858,4.319175644649354,3.599285901655728,1.4471956341250438,0.5862554780263146,1.0976589372560845,3.599285901655728,6.422423961507404,9.687649803671755,11.957967820141842
1,50000,0.20924,4.8038496519041765,3.706409597003626,1.5349535511435417,0.559603915664495,1.3239577081305967,3.706409597003626,6.67688159485009,10.70024775253885,13.992550970762984
2,50000,0.14702,6.121148043476354,4.775143782206333,1.703299403614917,0.5490928058450825,2.314535469998371,4.775143782206333,8.249666855639855,13.01666692534289,17.00412544728245
3,50000,0.11688,7.259657402369929,5.441718762897979,1.8138359492707987,0.5923553308968678,2.7918675179229777,5.441718762897979,9.488554769669467,15.38357135751157,20.64342427030524
4,50000,0.11822,7.653912592399021,5.738651259902733,1.8673222428492648,0.5940737642861466,2.9370289381722614,5.738651259902733,10.029039004934528,16.341324742843618,21.653814666401033
5,50000,0.11594,7.816975058676155,5.886132167200476,1.8917508025295517,0.5818820974203711,3.0476846851864114,5.886132167200476,10.181703727110396,16.693508719693025,22.05858361203616
6,50000,0.12322,7.368492537566154,5.456141436665069,1.826980762191877,0.6118878599585251,2.751944093520021,5.456141436665069,9.6412068738614,15.795299270652993,21.2746618481696
7,50000,0.1182,7.025227569545438,5.148768988280439,1.7675560474871932,0.6201900109708957,2.6080840337844973,5.148768988280439,9.174636610877405,15.039488430421333,20.230981039343124
8,50000,0.13498,6.714875649988269,4.825888230856971,1.7285262603205365,0.6472146224451854,2.3218429200910644,4.825888230856971,8.77725790716011,14.677356290005944,19.895889550891514
9,50000,0.1308,6.499857350866766,4.657447630698151,1.6855226361588735,0.6588891496868207,2.276588912390714,4.657447630698151,8.430140888119844,14.215925424313248,19.147504804894048
10,50000,0.14818,6.3435807326876,4.433630163818457,1.6689201531899234,0.6808151709758262,2.0358793064524114,4.433630163818457,8.234289761617854,14.103542821048928,19.280809947990935
11,50000,0.14822,6.249159057382958,4.347840109282577,1.6462328599429747,0.6988987977869996,1.9561720299571368,4.347840109282577,8.084914519690246,14.028602933998085,19.15207320145278
12,50000,0.15086,6.011973221467121,4.2305614694779,1.6221513773310825,0.6744494128159094,1.9148332206498564,4.2305614694779,7.86522239170431,13.276244843695073,18.037982280278186
13,50000,0.14872,5.9883595818115305,4.10313871665986,1.5942851998408691,0.7147925733275892,1.8341371855549715,4.10313871665986,7.763036806932005,13.425795054100712,18.431257962682526
14,50000,0.16984,5.628826202566393,3.764781281956031,1.5453806887452177,0.7387815664404241,1.5479380610301259,3.764781281956031,7.324726440117042,12.794530178271708,17.828769382637546
15,50000,0.16382,5.610299929138599,3.74725223010189,1.5306444196696363,0.749509415678744,1.5703699930828998,3.74725223010189,7.212835759526106,12.827246160996175,17.768630723197532
16,50000,0.17006,5.6246722118665415,3.7459697469292053,1.5407631958483234,0.7509236059911851,1.5373377971654159,3.7459697469292053,7.276178058441171,12.811860068801813,17.94826508359166
17,50000,0.17096,5.688442917492323,3.826595339120222,1.559679881507736,0.7378547243679948,1.5648334125660646,3.826595339120222,7.4070243907621185,12.871672316575284,17.868812809103012
18,50000,0.2118,5.282563712550895,3.4868839434674035,1.5367738304816412,0.7342324165403933,1.1193454880622649,3.4868839434674035,6.936586526310496,12.24875946004216,17.03824996653959
19,50000,0.1906,5.400207981977262,3.5902444647143907,1.5291008260250232,0.7404514055411329,1.3370138065986095,3.5902444647143907,7.017400664746123,12.318431585026216,17.31114042323335
20,50000,0.1848,5.409696916155736,3.551031581000239,1.5104288608339693,0.7667884276088947,1.3315812729875478,3.551031581000239,6.983952569270917,12.350644088492094,17.389029807404988
