career_stage,n,mean_restart,fit_mean_restart,median_restart,q90_restart,q95_restart,mean_zero_run
0-4,1086,4.991511010542935,5.003528105629789,3.902056991355255,9.68719109597039,12.116926290889069,1.3443830570902393
5-7,449,4.852957419254772,4.859904993593252,3.600009730581166,9.770539663939982,12.2618015260278,1.6525612472160356
8-13,846,3.900577115451518,3.8929330613681863,2.9143644012641174,7.572724891313559,9.68719109597039,1.7080378250591017
14-20,680,3.326459827504226,3.3189445056502818,2.524241630437853,6.634225950251819,8.364047339230265,2.0588235294117645
