quantity,source,xmin_mode,discrete,n_positive,xmin,n_fit_tail,tail_frac,power_law_alpha,power_law_sigma,power_law_D,lognormal_mu,lognormal_sigma,lognormal_D,exponential_lambda,exponential_D,truncated_power_law_alpha,truncated_power_law_lambda,truncated_power_law_D,R_power_law_vs_lognormal,p_power_law_vs_lognormal,favored_power_law_vs_lognormal,R_power_law_vs_truncated_power_law,p_power_law_vs_truncated_power_law,favored_power_law_vs_truncated_power_law,R_lognormal_vs_exponential,p_lognormal_vs_exponential,favored_lognormal_vs_exponential,R_lognormal_vs_stretched_exponential,p_lognormal_vs_stretched_exponential,favored_lognormal_vs_stretched_exponential
Career year 20,Naïve-GRW-Y-Clauset,full_positive,False,6546,0.00024779846797601257,6546,1.0,1.083898539723944,0.0010369704994130499,0.3916312912292073,3.6122351346308506,3.487649189066902,0.04776943650724752,4.582874262161074e-05,0.7870881560066343,0.9664985184075705,1.395188921990624e-06,0.20159184265461733,-5317.22136023025,0.0,lognormal,-2482.898496571377,0.0,truncated_power_law,32214.53448247414,1.4688444757657472e-129,lognormal,790.3787240484788,3.186894188151966e-173,lognormal
Career year 20,Empirical,full_positive,False,783,1.0589091392016494,783,1.0,1.6594519057073605,0.023566888474384425,0.18182402541074671,1.346407359993804,1.0599509814245256,0.049370912917299725,0.1659236885276346,0.06007278800149152,0.47317408704624064,0.11160143510107384,0.03273889838329147,-147.44706729336247,1.2499744058416453e-23,lognormal,-165.11135994698913,0.0,truncated_power_law,-4.208967058152899,0.5267169449883455,exponential,-15.895997444409897,4.16326349391189e-08,stretched_exponential
Last observed / terminal 4 years,Naïve-GRW-Y-Clauset,full_positive,False,7340,6.441901937959127e-05,7340,1.0,1.0702042169077306,0.000819436244669066,0.40810519507881693,4.5934371792405155,3.623184288566642,0.030572940511316593,1.814436206650616e-05,0.7773666523352212,0.9539558778734847,3.29498705091418e-07,0.2138696963012685,-6976.29027859472,0.0,lognormal,-3376.531186471676,0.0,truncated_power_law,37364.803447020626,1.6096229710277445e-100,lognormal,840.6960756386053,2.010045963400076e-120,lognormal
Last observed / terminal 4 years,Empirical,full_positive,False,2317,1.0589091392016476,2317,1.0,1.3713287019534204,0.00771428185497148,0.3258982774988092,2.743101278194956,0.953476212052806,0.05869003475029633,0.04560145506944649,0.0575229002389393,1.1137148567460646e-06,0.04559845714223388,0.05750714132984397,-1465.4117866948493,1.9001462729117551e-255,lognormal,-1512.9390260515233,0.0,truncated_power_law,-47.52739746799649,0.001969035464598826,exponential,-62.393617098989466,0.00010595767155768674,stretched_exponential
Cumulative full trajectory,Naïve-GRW-Y-Clauset,full_positive,False,10000,0.004717183431474354,10000,1.0,1.0909001788332044,0.0009090017883320445,0.39247146584062176,5.6419607100558675,3.12462418236756,0.032083408709337846,1.5147882060255039e-05,0.7589260952156132,0.9645965438319167,3.640130091978962e-07,0.20364163003224806,-8413.827151626796,0.0,lognormal,-3719.316958984173,0.0,truncated_power_law,42444.28979916758,1.7210548960087666e-116,lognormal,1192.9507893767395,2.4638286128549752e-151,lognormal
Cumulative full trajectory,Empirical,full_positive,False,690,4.04208312582216,690,1.0,1.2979731023199153,0.011343642138459831,0.4214344965475708,4.752730086102607,0.7578029982279613,0.057419775766495706,0.0068916460858101086,0.15649992599960377,2.349606080656705e-06,0.006888174370615823,0.15638228800046772,-737.7696466718274,2.8237654503892202e-173,lognormal,-680.2058608782884,0.0,truncated_power_law,57.563404369211696,0.00012409174483606457,lognormal,-6.320215832091812,0.599917191737692,stretched_exponential
