model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
Naïve-GRW-Y-Clauset,simulated,B. years 1-4,40000,0.0456681217257468,78.7199922380575,0.33968424930800845,49.036909453547736,1664.7319277450397,-182.27404314496692,0.0456681217257468,788.6179455833973
Naïve-GRW-Y-Clauset,simulated,C. years 5-7,30000,0.0,371.59921375464796,0.365172412067523,133.16884301944424,8605.098747537188,-969.078746810632,0.0,2536.4188667372405
Naïve-GRW-Y-Clauset,simulated,D. years 8-20,120000,0.0,11672.192532410325,0.44237262566206803,2521.6630735146487,1064367.2256175692,-6443.751120391398,0.0,16405.504943743188
