quantity,source,xmin_mode,discrete,n_positive,xmin,n_fit_tail,tail_frac,power_law_alpha,power_law_sigma,power_law_D,lognormal_mu,lognormal_sigma,lognormal_D,exponential_lambda,exponential_D,truncated_power_law_alpha,truncated_power_law_lambda,truncated_power_law_D,R_power_law_vs_lognormal,p_power_law_vs_lognormal,favored_power_law_vs_lognormal,R_power_law_vs_truncated_power_law,p_power_law_vs_truncated_power_law,favored_power_law_vs_truncated_power_law,R_lognormal_vs_exponential,p_lognormal_vs_exponential,favored_lognormal_vs_exponential,R_lognormal_vs_stretched_exponential,p_lognormal_vs_stretched_exponential,favored_lognormal_vs_stretched_exponential
Career year 20,Naïve-GRW-Y-Clauset,tail,False,6546,541.1624629559448,1379,0.2106630003055301,1.4081027245920998,0.010989738565986342,0.04708774916943814,2.421169520561848,4.441921017764966,0.021099121736576576,4.482579399685432e-06,0.6724562786503546,1.3652354975917056,5.165501822523319e-08,0.028725195187405073,-24.5118155042848,1.2912032848951887e-05,lognormal,-18.897355402380008,7.859457529235669e-10,truncated_power_law,3713.2134223457,5.543640122353283e-12,lognormal,-1.5699023533551202,0.023019342926857672,stretched_exponential
Career year 20,Empirical,tail,False,783,6.691237871384211,300,0.3831417624521073,2.7114117796146773,0.09880840516548303,0.08738007586961666,1.797950050656746,0.7773561933011693,0.046023035503969884,0.14863885127984322,0.06276644967246389,0.9051756971671364,0.09585281538740092,0.04231236832134097,-12.447763906051852,0.0022133394564869905,lognormal,-14.510107213459898,7.162696291640458e-08,truncated_power_law,-0.03346563321654461,0.988106470457571,exponential,-1.6207780081753906,0.009977663245251959,stretched_exponential
Last observed / terminal 4 years,Naïve-GRW-Y-Clauset,tail,False,7340,9176.642257434267,825,0.11239782016348773,1.4796842895057853,0.016700463343188292,0.03956400312145503,4.3287067815331035,4.190036428723156,0.031157428391571873,5.423736867651011e-07,0.6573119917443405,1.4488279685825158,4.07766018867076e-09,0.024908795540106166,-10.854937716003288,0.006365327638453355,lognormal,-5.787160160000509,0.0006686887329429014,truncated_power_law,2059.5548881148534,1.4071868572947307e-06,lognormal,-0.48201921787351587,0.3126093808797211,stretched_exponential
Last observed / terminal 4 years,Empirical,tail,False,2317,24.844503289896966,776,0.3349158394475615,2.991657678966404,0.07149634398937989,0.07334995767819019,3.043166986528508,0.7010998916165231,0.019942781669900406,0.049936055318828845,0.043749979153920315,1.099817513845733,0.030619925898516365,0.02577380794026303,-28.34935003196224,7.785053328129687e-06,lognormal,-27.575673107925848,1.1157741397482823e-13,truncated_power_law,6.029217806816101,0.13901359924033485,lognormal,0.3683388166307049,0.6848924984747556,lognormal
Cumulative full trajectory,Naïve-GRW-Y-Clauset,tail,False,10000,22891.168806097194,884,0.0884,1.5499477330530684,0.018496743907237285,0.026317720322486027,1.6906543030827348,4.5988726751374,0.02253091060836604,4.6358531302723865e-07,0.6209168928942044,1.523226611942126,2.910837647245979e-09,0.019578601292798994,-5.76584366872879,0.04279013732306241,lognormal,-4.032052590265021,0.004515076786727024,truncated_power_law,1888.5159115568533,6.519670074659668e-07,lognormal,0.11590652338825969,0.9180799127734844,lognormal
Cumulative full trajectory,Empirical,tail,False,690,107.17538101623357,413,0.5985507246376811,2.7935977563665215,0.08825717582090084,0.09719321609937992,4.68728903653661,0.6928957752771479,0.03768373135020317,0.01008584647365118,0.04390992233572519,0.6309673090834569,0.0076558539918161455,0.03247995074373167,-20.43373170658048,9.889618640078219e-05,lognormal,-22.094748822374832,2.980760083204359e-11,truncated_power_law,-0.573065874357952,0.7222421227200092,exponential,-1.4654170680099519,0.03510506529630346,stretched_exponential
