prod_bin,n,dropout_rate,mean_q_t,median_q_t,source,bin_mid,se,lower,upper
"(1.0890000000000002, 2.181]",3760,0.20079787234042554,1.5584083617975284,1.5020676207365846,Empirical,1.5584083617975284,0.006533019381197491,0.18799315435327846,0.21360259032757262
"(2.181, 3.229]",3687,0.17493897477624085,2.6872657080242495,2.6448091533287252,Empirical,2.6872657080242495,0.006256763736525451,0.16267571785265098,0.18720223169983072
"(3.229, 4.419]",3575,0.13454545454545455,3.8156066603447307,3.811036551090419,Empirical,3.8156066603447307,0.005707141280558506,0.12335945763555987,0.14573145145534921
"(4.419, 5.829]",3700,0.0872972972972973,5.131218223869673,5.084821644986893,Empirical,5.131218223869673,0.004640493892105829,0.07820192926876987,0.09639266532582472
"(5.829, 7.622]",3631,0.07353346185623795,6.704440421058591,6.691237871384211,Empirical,6.704440421058591,0.0043315591654849534,0.06504360589188744,0.08202331782058846
"(7.622, 10.037]",3711,0.0479655079493398,8.73254340585258,8.706188398954271,Empirical,8.73254340585258,0.003507885331342044,0.04109005269990939,0.05484096319877021
"(10.037, 14.001]",3592,0.028953229398663696,11.763405479854308,11.65745760505647,Empirical,11.763405479854308,0.002797695316323175,0.023469746578670275,0.03443671221865712
"(14.001, 80.687]",3666,0.019094380796508457,20.622868613375385,18.3927022890417,Empirical,20.622868613375385,0.0022603212635686877,0.01466415111991383,0.023524610473103086
"(1.0890000000000002, 2.181]",1925,0.23064935064935066,1.6563068811423014,1.6647462456326354,Simulated,1.6563068811423014,0.0096011424562192,0.21183111143516103,0.24946758986354028
"(2.181, 3.229]",2097,0.1530758226037196,2.6941799147302077,2.6890460025158904,Simulated,2.6941799147302077,0.007862784108265788,0.13766476575151865,0.16848687945592056
"(3.229, 4.419]",2164,0.11321626617375231,3.8044836681564154,3.7997459931698145,Simulated,3.8044836681564154,0.00681137270845512,0.09986597566518028,0.12656655668232436
"(4.419, 5.829]",2118,0.08026440037771483,5.0863920714486115,5.077195385931645,Simulated,5.0863920714486115,0.005903777795736867,0.06869299589807057,0.0918358048573591
"(5.829, 7.622]",1966,0.06561546286876907,6.690523834212474,6.6706472018853304,Simulated,6.690523834212474,0.005584369713521588,0.05467009823026676,0.07656082750727139
"(7.622, 10.037]",1779,0.056211354693648116,8.755748441907397,8.731939958644116,Simulated,8.755748441907397,0.005460864819239159,0.045508059647939365,0.06691464973935687
"(10.037, 14.001]",1664,0.043870192307692304,11.822208585103583,11.766412898147948,Simulated,11.822208585103583,0.00502072618522762,0.034029568984646166,0.05371081563073844
"(14.001, 80.687]",1882,0.021785334750265676,21.58076615646982,18.74516966226114,Simulated,21.58076615646982,0.003365033514342544,0.01518986906215429,0.02838080043837706
