year,restart_prob_if_zero,dropout_intercept,dropout_gamma_log1p_q
0,0.619815668202765,0.2482224302937142,1.1885530696134916
1,0.6836027713625866,-0.22171956027319872,1.1885530696134916
2,0.6377708978328174,-0.46805072332805847,1.1885530696134916
3,0.6201550387596899,-0.26552759236302886,1.1885530696134916
4,0.5916030534351145,-0.2911965127807505,1.1885530696134916
5,0.5581395348837209,-0.2168187195255791,1.1885530696134916
6,0.5916030534351145,-0.25560472037811827,1.1885530696134916
7,0.5928853754940712,-0.08136314981938686,1.1885530696134916
8,0.5927272727272728,-0.2522399473333929,1.1885530696134916
9,0.5173745173745173,-0.17879884720385877,1.1885530696134916
10,0.5471014492753623,-0.22156250124717022,1.1885530696134916
11,0.5451127819548872,-0.1702723435392758,1.1885530696134916
12,0.5135135135135135,-0.2986522463103047,1.1885530696134916
13,0.4979253112033195,-0.07291100952065681,1.1885530696134916
14,0.5291828793774319,-0.2183097966151613,1.1885530696134916
15,0.5434782608695652,-0.0833471541305955,1.1885530696134916
16,0.5068493150684932,-0.1709678327868645,1.1885530696134916
17,0.48514851485148514,0.191401810568325,1.1885530696134916
18,0.4931506849315068,-0.14484116439544958,1.1885530696134916
19,0.5284974093264249,-0.10107732839032733,1.1885530696134916
