stage,P_nothing_to_nothing,P_nothing_to_something,P_something_to_nothing,P_something_to_something
0-4,0.3649122807017544,0.6350877192982456,0.09882710686359687,0.9011728931364031
5-7,0.4191461836998706,0.5808538163001293,0.08333333333333333,0.9166666666666666
8-13,0.4631979695431472,0.5368020304568528,0.09372197309417041,0.9062780269058296
14-20,0.48484848484848486,0.5151515151515151,0.10923463887890765,0.8907653611210924
