model,source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99
All empirical,empirical,B. years 1-4,8851,0.0,3.8794699794521175,0.10104029915079127,0.7566857884186432,5.414003638482167,-13.371327176636445,0.0,15.42888817528625
All empirical,empirical,C. years 5-7,6401,-0.19070829847287118,3.937164819826284,0.09094968404731696,-0.4293101121232969,5.62234487365489,-15.275857311920209,-0.19070829847287118,15.502144313699768
All empirical,empirical,D. years 8-20,17382,-0.07930790735506177,3.3630526676202637,0.10404127975652189,-0.22096704639996964,4.886889483909737,-13.966737360017662,-0.07930790735506177,13.73290705067161
Hurdle-AR(1)-GRW-P,simulated,B. years 1-4,2800,0.21144370128736423,4.199488601583489,0.0698922203356993,0.6719471440376198,6.550423204467725,-18.202049096734335,0.21144370128736423,20.08556066931376
Hurdle-AR(1)-GRW-P,simulated,C. years 5-7,2100,0.0,3.8991778966052726,0.06610658511191159,-0.4636500161259167,5.923121090507932,-17.307817433385964,0.0,16.009415116360774
Hurdle-AR(1)-GRW-P,simulated,D. years 8-20,8400,0.0,3.7301734776236044,0.05086143306944202,-0.024911087334202414,6.361783755783048,-18.244308717482244,0.0,18.02778755409518
